	Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Dolinoy_Pb_Female_adult	Dolinoy_DEHP_Female_adult	Mutlu_PM2.5_Female_adult	Zhibin_As_Female_adult	Walker_TBT_Female_adt	num
Elovl6	0	-1.261999932	-0.726391439	1.723508346	0	0	0	0	0	3
Elovl7	0	-1.79449169	-1.078505014	2.048580224	0	0	0	0	0	3
Enah	0	-1.10213156	-0.957805631	2.848250626	0	0	0	0	0	3
Endog	0	1.25471445	0	0	0	0	0	0.860274158	-0.74900472	3
Endou	0	1.766089187	0	-1.368627599	0	0	0	0	-1.013547466	3
Engase	0	1.77804645	0	-0.910657748	0	0	0	0	-0.899156255	3
Entpd3	0	-1.837709077	-1.411044251	-3.129876657	0	0	0	0	0	3
Eomes	0.709697513	-0.776525886	0	0.856581141	0	0	0	0	0	3
Epor	0	-1.566321579	-1.663337138	2.590494852	0	0	0	0	0	3
Esam	0	-2.793210261	-2.38284708	2.763359189	0	0	0	0	0	3
Espn	0	0	0	-0.853114992	0	0	0	-1.112584621	-0.880368386	3
Extl1	0	0.91712552	1.064816832	-0.950505429	0	0	0	0	0	3
F11r	0	-1.597130222	-1.405328765	2.108821809	0	0	0	0	0	3
F2r	0.678311868	-1.692619218	0	0.616448842	0	0	0	0	0	3
F2rl2	0	-3.009931162	-2.421371103	2.560388589	0	0	0	0	0	3
F730043M19Rik	0	0.86813429	0.884483588	0	0	0	0	0	0.703201548	3
Fads2	0	-1.935702416	-1.573504061	2.416118746	0	0	0	0	0	3
Fam110b	0	-1.858516725	-1.925435764	3.29739033	0	0	0	0	0	3
Fam122b	0	-0.866165693	0	-0.646716382	0	0	0	0	0.774901315	3
Fam131a	0	-1.58393377	-1.522954567	2.453628803	0	0	0	0	0	3
Fam13b	0	-1.637080831	-0.849934956	1.54069361	0	0	0	0	0	3
Fam20a	0	1.655930342	0	-2.304375177	0	0	0	0	-1.543219434	3
Fam213b	0	1.2576404	0.704741109	0	0	0	0	0.712478049	0	3
Fam217b	0	-1.173025516	-1.109630453	1.175076187	0	0	0	0	0	3
Fam221b	0	0	-1.001545268	0.787136159	0	0	0	0	-1.475033115	3
Fam45a	0	-1.150512944	-0.811458065	1.290932764	0	0	0	0	0	3
Fam57b	0	-2.53042686	-1.718585988	3.188589937	0	0	0	0	0	3
Fbxl2	0	-2.16437429	-1.78605666	3.082078136	0	0	0	0	0	3
Fbxo2	0	-2.288522063	-2.02017942	2.726530966	0	0	0	0	0	3
Fcrls	0	0	0	-2.384522997	0	-3.212854237	0	0	-2.788204084	3
Fermt3	0	-0.900627665	-0.926479022	0.88880288	0	0	0	0	0	3
Fez2	0	-0.662963181	-0.80703353	1.244658923	0	0	0	0	0	3
Fgg	0	-1.474250694	0	-1.800622332	0	0	0	0	1.23298827	3
Fhl1	0	-3.428373272	-2.358005017	2.927189136	0	0	0	0	0	3
Fmc1	0	1.142029523	0	0	0	0	0	0.792358428	-0.795341718	3
Fmo5	0	-1.078811272	-0.755646287	1.331229115	0	0	0	0	0	3
Foxd4	0	-1.36089581	-1.454821935	0	0	0	0	0	-1.164702422	3
Fpr2	0	0	-1.214353801	0	0	0	-0.744243725	0.799014797	0	3
Fth1	0	-0.88156213	-0.957830332	1.32282375	0	0	0	0	0	3
Fyco1	0	-1.164968964	-0.613276963	0.957061921	0	0	0	0	0	3
Gab1	0	-1.266699593	-0.947456011	1.54691649	0	0	0	0	0	3
Gab2	0	-0.732741195	-0.613950402	0.61691295	0	0	0	0	0	3
Gabarapl1	0	-1.67249984	-1.483735856	2.199273095	0	0	0	0	0	3
Gad1	0	-2.365318455	-1.625543049	1.95989073	0	0	0	0	0	3
Gas2l1	0	-2.711352816	-2.021105517	2.571116367	0	0	0	0	0	3
Gata1	0	-1.641379281	-1.374498829	2.453316814	0	0	0	0	0	3
Gata2	0	-1.889415273	-1.666886442	2.824160982	0	0	0	0	0	3
Gatad1	0	-1.558016951	-1.271234842	2.029902333	0	0	0	0	0	3
Gchfr	0	-2.358600152	-2.366229237	2.890642475	0	0	0	0	0	3
Gclm	0	-0.964717817	0	1.910851079	0	0	0	0	0.794204619	3
Gcsam	0	-2.07114058	-1.279757358	2.330415517	0	0	0	0	0	3
Gfi1	0.884904906	-0.608500528	0	0	0	0	0	0	-0.857609492	3
Gfi1b	0	-0.954676894	-1.597293016	2.515999226	0	0	0	0	0	3
Ggnbp1	0	0.715532067	0	-1.1899322	0	0	0	0	-0.786333158	3
Gipc2	0	-2.056850985	-1.925644473	2.501350611	0	0	0	0	0	3
Gk	0	-1.378467495	-0.68599041	0.595795065	0	0	0	0	0	3
Gm10080	0	0	-1.073752182	2.295978173	0	0	0	0.663328685	0	3
Gm10123	0	0	0	1.511188447	0	0	0	0.716284684	-1.236585793	3
Gm10443	0	1.53632636	0	0	1.364074429	0.874797637	0	0	0	3
Gm11274	0	-3.37566625	-2.262764703	2.987495905	0	0	0	0	0	3
Gm11827	0	-1.730264588	-2.178840555	-1.679370122	0	0	0	0	0	3
Gm11868	0	-1.303130744	0	0.967950704	0	0	0	0	-0.965153694	3
Gm12020	0	-2.12670498	-1.893662643	3.468391132	0	0	0	0	0	3
Gm12481	0	0	0	2.180493495	0.730896549	0.62863562	0	0	0	3
Gm12715	0	-0.762921509	0	1.506279199	0	0.74996359	0	0	0	3
Gm13206	0	-3.359754195	-2.455642152	3.418573155	0	0	0	0	0	3
Gm13340	0	0	-0.93999414	1.768557289	0	0	0	0	0.836645768	3
Gm13431	0	-1.328320764	-1.960249906	3.094545705	0	0	0	0	0	3
Gm13509	0	-1.302008421	-1.090913151	1.365508005	0	0	0	0	0	3
Gm13577	0	0	0	1.305238356	0	0	0	1.546311005	-1.433311743	3
Gm13842	0	-1.674711625	-1.679558494	2.685562188	0	0	0	0	0	3
Gm13848	0	-2.203340603	-1.85024447	1.433348654	0	0	0	0	0	3
Gm14005	0	0	-1.465974255	1.819811062	0	0	0	0.845160955	0	3
Gm14597	0	-1.300191311	-2.136465927	0	0	0	0	0	-2.218506482	3
Gm14636	0	-1.568884029	-1.347672067	3.193941266	0	0	0	0	0	3
Gm15382	0	-1.096100991	0	-1.26324543	0	0	0	0	0.895521498	3
Gm15772	0	0	0	0.751650045	0	0	0	0.874835326	-1.457288929	3
Gm15912	0	1.241379633	0	1.589832598	0	0	0	-1.328486445	0	3
Gm16378	0	-0.641487628	-0.791478021	0.690982498	0	0	0	0	0	3
Gm17823	0	0	-1.117784254	1.552039236	0	0	0	0	0.991630651	3
Gm1968	0	-3.695426651	-2.611348953	3.064489981	0	0	0	0	0	3
Gm20056	0	-1.914635637	-1.315565212	2.925421706	0	0	0	0	0	3
Gm20139	0	-1.840016089	-1.291537379	3.558146925	0	0	0	0	0	3
Gm21811	0	-0.889077703	0	-0.937141295	0	0	0	-0.822174672	0	3
Gm22107	0	-0.84865987	-0.937039797	0.876733658	0	0	0	0	0	3
Gm26569	0	-2.346827816	-1.87390836	2.703985938	0	0	0	0	0	3
Gm26616	0	-2.210909477	-1.138869577	2.117883634	0	0	0	0	0	3
Gm28439	0	-1.15231318	-1.237517668	2.351713284	0	0	0	0	0	3
Gm28609	0	-3.879105372	-2.47336037	3.008601383	0	0	0	0	0	3
Gm29093	0	0	0	-1.47156867	0	0	-0.882518229	0	-1.006791645	3
Gm30411	0	-2.203889209	-2.241179476	2.83411745	0	0	0	0	0	3
Gm30551	0	-1.647695021	-1.983818113	4.114869351	0	0	0	0	0	3
Gm30648	0	-2.942424588	-1.762534099	2.334025911	0	0	0	0	0	3
Gm32051	0	-1.092810953	0	2.008979828	0	0	0	0	0.626266948	3
Gm32123	0	-1.887275543	-1.766634659	2.023053111	0	0	0	0	0	3
Gm32224	0	-2.013098014	-1.940415415	4.22825886	0	0	0	0	0	3
Gm32585	0	-1.728602413	-1.80795611	2.925715003	0	0	0	0	0	3
Gm33056	0	-1.952687811	-2.367233161	4.099357572	0	0	0	0	0	3
Gm34276	0	-1.720806187	-1.738934606	2.915735476	0	0	0	0	0	3
Gm34342	0	0	0	1.379660391	0	0	0	1.465491488	-1.501252337	3
Gm35041	0	-2.128215061	-1.905641483	3.126741409	0	0	0	0	0	3
Gm35657	0	-3.376389559	-1.690906684	3.834288473	0	0	0	0	0	3
Gm36328	0	-1.968479099	-2.082153597	3.251567324	0	0	0	0	0	3
Gm36723	1.777943209	-0.87679972	0	0	0	0	0	0	-0.743230632	3
Gm36738	0	1.254660148	0	1.068409078	0	0	0	0	-0.688500449	3
Gm37035	0	-3.480489626	-2.446936628	2.856617638	0	0	0	0	0	3
Gm37474	0	1.613559727	0	1.079152448	0	0	0	0	1.275280005	3
Gm38158	0	-1.389264507	0	3.366450504	0	0	0	0	-1.336066016	3
Gm38394	0	-1.034273985	0	0	-0.750611773	0	-0.747503167	0	0	3
Gm38414	0	-2.55481579	-1.832762871	2.9035346	0	0	0	0	0	3
Gm4070	0.678984729	-1.211830713	0	0	0	0	0	0	0.788807803	3
Gm42502	0	-2.389248309	-1.183155457	0	0	0	0	0	-2.352352098	3
Gm42918	0	-1.185076506	-1.332059693	1.852345027	0	0	0	0	0	3
Gm43181	0	-1.736319398	-1.175610295	-1.147017901	0	0	0	0	0	3
Gm43197	0	-1.532990506	0	-0.73865156	-1.278512092	0	0	0	0	3
Gm4332	0	0.759199197	0	0	0	0	0	0.64982764	-1.262806113	3
Gm43661	0	-2.436092437	-1.903192315	2.751097129	0	0	0	0	0	3
Gm43674	0	-2.194925008	-1.608833833	2.766831967	0	0	0	0	0	3
Gm43858	0	0	0	-2.401920245	0	0	0	-0.945793763	1.200837488	3
Gm44250	0	0.708671927	0	0.81522839	0	0	0	0	0.910223715	3
Gm4489	0	-3.517808572	-1.945956384	2.868141627	0	0	0	0	0	3
Gm45620	0	-1.960309363	-1.47738432	2.689005712	0	0	0	0	0	3
Gm46210	0	-1.659498884	-1.822888461	3.67928797	0	0	0	0	0	3
Gm47283	0	1.488759701	0	0	0	0	0	-0.928840361	-1.037695255	3
Gm48249	0	-3.015860074	-1.537911047	3.087261703	0	0	0	0	0	3
Gm48832	0	2.08082045	0	-4.272668415	0	0	0	0	-2.469129136	3
Gm48905	0	-1.218367595	-1.491631729	3.47132745	0	0	0	0	0	3
Gm49392	0	-2.850621268	-1.658746157	3.335357719	0	0	0	0	0	3
Gm5069	0	-1.958565409	-1.849894037	2.501417712	0	0	0	0	0	3
Gm5148	0	-1.745361974	-1.914513426	3.909045332	0	0	0	0	0	3
Gm5781	0	0	0	0	1.392095045	1.284668725	0	0	-1.07148247	3
Gm6204	0	0.755005758	0	0.640468375	0	0	0	0.803038678	0	3
Gm6451	0	0.921155382	0	0	0	0	0	0.978563636	-0.898909389	3
Gm6652	0	-2.290399272	-1.091571121	3.004157439	0	0	0	0	0	3
Gm6704	0	0	0	2.688848352	0	0	0	1.078576461	-0.950373305	3
Gm7160	0	-0.961709628	-0.86014828	1.335481114	0	0	0	0	0	3
Gm7809	0	-1.601646338	-1.343669665	1.737981362	0	0	0	0	0	3
Gm8186	0	0.852826194	0	0	0.796559139	0	0	0.729826291	0	3
Gm8399	0	-0.86457801	-1.012402247	1.464302571	0	0	0	0	0	3
Gm8430	0	0.997896703	0	0	1.627994487	1.325457277	0	0	0	3
Gm9392	0	-1.023910313	0	0.847922157	0	0	0	0	0.789236409	3
Gm9616	0	0	0	0	1.172532621	0.868654612	0	0	-0.905695172	3
Gm9951	0	-1.779930143	-1.40768179	1.799214564	0	0	0	0	0	3
Gmpr	0	-2.654057175	-2.669049848	2.864380318	0	0	0	0	0	3
Gnaz	0	-2.748188556	-2.261672425	2.800167299	0	0	0	0	0	3
Gng11	0	-2.762336201	-2.528530405	2.637582794	0	0	0	0	0	3
Gp5	0	-3.678085329	-2.955253069	2.649538598	0	0	0	0	0	3
Gp6	0	-3.611985052	-2.586428957	2.960564961	0	0	0	0	0	3
Gp9	0	-2.948547647	-2.747968768	2.592608258	0	0	0	0	0	3
Gpc1	0.877946205	-0.738937416	0	0	0	0	0	0	-0.971295446	3
Gramd1c	0	-1.448183077	-0.807450577	1.434508224	0	0	0	0	0	3
Grap2	0	-1.19709934	-0.586200416	1.254507833	0	0	0	0	0	3
Gsn	0	-1.652978928	-1.372653575	1.587513971	0	0	0	0	0	3
Gsta2	0	-1.774684288	-2.106526141	3.122793521	0	0	0	0	0	3
Gtdc1	0	-0.961961337	0	0.704375148	0	0	0	0	0.594640362	3
Gtf2e2	0	-0.606692975	-0.625468134	1.123398883	0	0	0	0	0	3
Gucy1a1	0	-1.927747958	-1.340928649	3.365782294	0	0	0	0	0	3
Gucy1b1	0	-3.812381806	-2.407141837	3.058448836	0	0	0	0	0	3
H2-Aa	0	0.66603652	0.722827947	-0.938509361	0	0	0	0	0	3
H2-Ab1	0	0.819724585	0.68018149	-0.713017677	0	0	0	0	0	3
H2-Eb1	0	0.83928517	0.630316692	-0.931804743	0	0	0	0	0	3
H2-Q10	0	-0.915404459	-1.339867245	-1.135960374	0	0	0	0	0	3
H2-T24	0	-1.135072285	-0.722873928	0.812204414	0	0	0	0	0	3
Hacd1	0	-1.07467783	-1.581074011	2.540723972	0	0	0	0	0	3
Hacd4	0	-1.564468244	-1.295046368	1.996868986	0	0	0	0	0	3
Hcar2	0	0	-0.797299231	-0.988483036	0	0	0	0	-0.991389137	3
Hdc	0.805277997	0	-1.145079864	-0.843484707	0	0	0	0	0	3
Heatr9	0.842622359	-1.236431414	0	0.774730646	0	0	0	0	0	3
Hic1	1.129936049	-0.95281861	0	0	0	0	0	0	-0.811932001	3
Hist1h2bn	0	-2.809515873	-2.048426267	3.131058631	0	0	0	0	0	3
Hist1h3d	0	-1.807289342	-1.59331401	2.707798647	0	0	0	0	0	3
Hist1h3i	0	-2.105717513	-1.238327741	3.407737998	0	0	0	0	0	3
Hist1h4c	0	-2.161429154	-1.823267134	3.084753221	0	0	0	0	0	3
Hist1h4m	0	-4.047676858	-1.952053358	3.203287342	0	0	0	0	0	3
Hk1	0	-1.043826191	-0.803958337	1.469534276	0	0	0	0	0	3
Homer3	0	-1.146395378	-1.375903782	1.925326366	0	0	0	0	0	3
Hormad2	0	-2.064070837	-1.446118304	2.23766005	0	0	0	0	0	3
Hpse	0	-1.919455753	-1.366824257	1.630387129	0	0	0	0	0	3
Hrh2	0	-0.654521896	-0.701619839	0	0	0	-0.711978288	0	0	3
Hsd17b14	0	-2.096031298	-2.411070132	3.202763523	0	0	0	0	0	3
Hspd1-ps4	0	-3.233365711	-2.453995824	3.013354784	0	0	0	0	0	3
I830077J02Rik	0	-1.369250329	-1.583321891	0.706881501	0	0	0	0	0	3
Ifit1	0	-0.986778852	0	0.839808951	0	0	0	0	0.820955567	3
Ifit1bl2	0	-1.296327028	-1.236198319	0.615627425	0	0	0	0	0	3
Ifit2	0	-2.021717868	-0.898985399	1.295109367	0	0	0	0	0	3
Ifrd1	0	-1.106464039	-0.909763168	1.341662952	0	0	0	0	0	3
Ighv1-19	0	-0.680201488	0	-1.369393476	0	0	0.872965323	0	0	3
Ighv1-50	0	-1.5343952	-0.910652474	-1.349056205	0	0	0	0	0	3
Ighv1-72	0	0	1.272682162	-1.894973389	0	0	0	0	-0.61746475	3
Ighv1-75	0	-0.721866257	0	-1.347722072	0	0	0	0	-1.080378973	3
Ighv1-76	0	-1.015347943	0	-1.567866983	0	0	0	0	-0.885023927	3
Ighv11-2	0	1.479875083	0	-2.003319547	0	0	1.375880512	0	0	3
Ighv14-3	0	-0.792659447	-0.996276876	-1.871976723	0	0	0	0	0	3
Ighv2-2	0	-1.52602841	-0.96105974	-1.129177424	0	0	0	0	0	3
Ighv7-1	0	-1.578360377	0	-1.355514641	0	0	0	0	-1.396208517	3
Ighv9-2	0	-1.218894021	0	-1.903917332	0	0	0	0	-0.981577444	3
Igkv1-117	0	0	0.737374875	-0.828191774	0	0	0	0.806874925	0	3
Igkv1-122	0	0.880873899	0	-1.303406732	0	0	0	0	-0.914224809	3
Igkv12-89	0	1.1908603	0	-1.852547695	0	0	0	-1.054991075	0	3
Igkv14-126	0	1.701381742	0	-1.725603329	0	0	0	0	-1.292315003	3
Igkv17-121	0	-0.971000296	0	-0.951655821	0	0	0	0	-0.671985402	3
Igkv3-7	0	0	0	-1.117786393	0	0	0	-1.086922339	-0.99427202	3
Igkv5-43	0	-1.258637474	0	-0.946964111	0	0	0	0	-0.634083375	3
Igkv6-25	0	-1.526623321	-1.112538383	-0.916891067	0	0	0	0	0	3
Igkv6-32	0	-0.776287953	0	-0.61704824	0	0	0	0	-0.779438972	3
Igkv8-21	0	-0.634163392	1.098612366	-0.696808063	0	0	0	0	0	3
Iglc1	0	0.846857946	0	-1.037595235	0	0	0	0	-0.764176122	3
Iglv2	0	0.793257427	0.67912999	-0.791080707	0	0	0	0	0	3
Igtp	0	-1.230668668	-0.889256278	0.773932597	0	0	0	0	0	3
Il12rb1	1.273130792	-0.782587353	0	0	0	0	0	0	-0.729527622	3
Il15	0	-0.59160219	-0.804271551	1.011856509	0	0	0	0	0	3
Il1b	0	-0.907132447	-1.226713737	-0.891802729	0	0	0	0	0	3
Il2rb	0.977723728	-1.097105937	0	0	0	0	0	0	-0.842658413	3
Il5ra	0	1.167925567	0.659607857	-0.808448534	0	0	0	0	0	3
Ilk	0	-1.928764529	-1.056701083	1.282825316	0	0	0	0	0	3
Inafm2	0	-1.523213439	-1.166869507	1.908566114	0	0	0	0	0	3
Inf2	0	-1.374577732	-1.171703843	1.777298476	0	0	0	0	0	3
Inpp5a	0	-0.814555404	-0.820378436	1.066793973	0	0	0	0	0	3
Intu	0	-1.704985748	-0.934551581	1.951225439	0	0	0	0	0	3
Ipo11	0	-1.553352715	-1.357991968	2.21056493	0	0	0	0	0	3
Itga1	1.444118194	-1.186187253	0	0	0	0	0	0	-0.77881163	3
Itga2	0	-2.348235408	-1.359220662	2.550258926	0	0	0	0	0	3
Itga2b	0	-3.135651082	-2.153400244	2.390053686	0	0	0	0	0	3
Itgb3	0	-2.133799793	-1.432495314	2.260907705	0	0	0	0	0	3
Itgb4	0	-0.962752005	-1.386738853	2.37625879	0	0	0	0	0	3
Itgb5	0	-3.040278899	-2.072366174	2.373089786	0	0	0	0	0	3
Jaml	0	-0.717506471	-1.048915935	0	0	0	0	0	-0.780542864	3
Jcad	0	-1.390858144	-0.822314254	1.490460416	0	0	0	0	0	3
Jchain	0	-1.439123105	0	1.373619819	0	0	0	0	-1.23945311	3
Kalrn	0	-2.811256312	-2.101185299	2.548676733	0	0	0	0	0	3
Kcnc3	0	0.862181628	0	-0.855505573	0	0	0	0	0.659416632	3
Kcnj5	0	-2.115004692	-1.053770362	3.071757538	0	0	0	0	0	3
Kctd1	0	-1.701596699	-0.915915339	1.259717002	0	0	0	0	0	3
Kdm8	0	0.852771006	0.625888124	-0.589582867	0	0	0	0	0	3
Kdr	0	-2.550397142	-1.536503063	2.500363939	0	0	0	0	0	3
Kif14	0	-1.681868087	-0.785224234	1.799297024	0	0	0	0	0	3
Kif2a	0	-1.41091741	-0.938102568	2.016685746	0	0	0	0	0	3
Kiss1r	0	-0.873655417	-1.020983216	1.516346383	0	0	0	0	0	3
Klhl30	0.828949825	-1.118108612	0	0	0	0	0	0	-0.914841541	3
Klra14-ps	0.993363575	-1.556275309	0	1.502811194	0	0	0	0	0	3
Klrb1b	0.8377932	-0.739314531	0	0	0	0	0	0	-1.007524738	3
Klrb1f	0.940947319	-1.190597519	-0.615160352	0	0	0	0	0	0	3
Klrd1	0	-0.920382522	0	0.968629944	0	0	0	0.857755277	0	3
Klrk1	0.728734453	-0.863426322	0	0.760459068	0	0	0	0	0	3
Lamc1	0	-0.916631015	0	0.887899713	0	0	0	-0.588283796	0	3
Lancl3	0	-2.302718443	-1.327555491	2.251254372	0	0	0	0	0	3
Layn	0	-1.764079384	-1.425613069	2.296168363	0	0	0	0	0	3
Lca5	0	0.587110451	0	-1.117209188	0	0	0	-0.616021798	0	3
Lgalsl	0	-2.88694594	-2.099100825	2.974096027	0	0	0	0	0	3
Lhfp	0	-2.916859455	-2.02675299	3.367163942	0	0	0	0	0	3
Litaf	0	-1.127881258	-1.162119176	1.373205711	0	0	0	0	0	3
Loxl1	0	-1.745127529	-1.884535507	2.83844194	0	0	0	0	0	3
Loxl3	0	-2.164992753	-1.540690593	1.647634614	0	0	0	0	0	3
Lpin2	0	-1.158322373	-0.651359252	0.985195199	0	0	0	0	0	3
Lrp8	0	-1.243931729	-1.012918102	1.004306771	0	0	0	0	0	3
Lrrc29	0	-0.917491726	-1.046837291	1.595632459	0	0	0	0	0	3
Lrrc32	0	-1.839776591	-1.402467001	1.445857334	0	0	0	0	0	3
Lrrn3	0	-3.584473449	-2.177617695	3.030899679	0	0	0	0	0	3
Lsm12	0	-1.238402762	-1.124717733	2.012632032	0	0	0	0	0	3
Ltb4r2	0	-1.762741908	-1.303703121	2.174835034	0	0	0	0	0	3
Ltbp2	0	-3.026728872	-1.862100652	2.770638799	0	0	0	0	0	3
Ltc4s	0	2.569083065	0	-3.267316843	0	0	0	0	-2.049425611	3
Ly6d	0	0.838679003	0	-1.253857656	0	0	0	0	-0.626038759	3
Ly6g6c	0	-2.856998823	-2.877983297	2.614666087	0	0	0	0	0	3
Ly6g6f	0	-2.896565569	-2.874794687	2.83408204	0	0	0	0	0	3
Lyve1	0	0	-1.019085125	1.446183534	0	0	0	0	0.794241677	3
Maged2	0	-1.96343085	-1.884289682	2.890356635	0	0	0	0	0	3
Map1a	0	-2.028981673	-1.778296808	2.640259194	0	0	0	0	0	3
Map2k3	0	-0.943314369	-0.890268794	1.702709741	0	0	0	0	0	3
Mapk6	0	-2.134664254	-1.209836613	1.891824523	0	0	0	0	0	3
Mast2	0	-1.552811887	-1.188515084	1.898307512	0	0	0	0	0	3
Max	0	-1.321501942	-0.989970937	1.390240713	0	0	0	0	0	3
Mboat1	0	-0.665180027	0	0.652959791	0	0	0	0	-0.811710313	3
Mcf2l	0	-1.465547674	-1.525094965	2.10139119	0	0	0	0	0	3
Mctp1	0	-2.845313246	-1.625591737	2.230815728	0	0	0	0	0	3
Mcur1	0	-1.00121906	-0.676761934	1.128993876	0	0	0	0	0	3
Mdga1	0	-2.235592421	-1.905635181	2.787525877	0	0	0	0	0	3
Med12l	0	-2.689383899	-1.777151405	1.523188184	0	0	0	0	0	3
Meis1	0	-1.458986398	-0.901858676	0.92970036	0	0	0	0	0	3
Mertk	0	1.594544088	0	-1.914532443	0	0	0	0	-1.448677898	3
Mest	0	-3.879093375	-2.236835867	2.988456131	0	0	0	0	0	3
Met	0	-1.310891354	0	0	0	0	0	1.484790443	1.22687001	3
Mfap3l	0	-3.844616	-2.09446455	3.072366341	0	0	0	0	0	3
Mfsd2b	0	-3.095596193	-2.215625795	2.761106541	0	0	0	0	0	3
Mgam	0	-1.074469323	-1.43299428	-1.869902805	0	0	0	0	0	3
Micu1	0	-0.716498432	-1.022138611	1.263326107	0	0	0	0	0	3
Mid1	0	-1.992761411	-0.976201047	1.289561462	0	0	0	0	0	3
Mink1	0	-1.393902995	-1.011504457	1.175935059	0	0	0	0	0	3
Mir5107	0	1.327263473	0	-0.701765003	0	0	0	0.663652525	0	3
Mir8116	0	-2.998412709	-2.143478909	2.524085741	0	0	0	0	0	3
Mki67	1.401402076	-0.878017302	0	0	0	0	0	-0.956733254	0	3
Mmp19	0	-1.744005534	-1.406449128	2.764859499	0	0	0	0	0	3
Mmp9	0	-0.879362926	-1.181412598	-1.902369794	0	0	0	0	0	3
Mmrn1	0	-4.15366213	-2.547217487	2.837892335	0	0	0	0	0	3
Mob1b	0	-1.118030208	0	1.115265479	0	0	0	0	0.650117436	3
Mob3a	0	-0.951766736	-0.6266695	0.608419396	0	0	0	0	0	3
Mpig6b	0	-3.781815512	-2.945898712	2.555539936	0	0	0	0	0	3
Mpl	0	-3.472993931	-2.5669671	2.800819357	0	0	0	0	0	3
Mras	0	-1.103629395	-1.482952045	3.391032638	0	0	0	0	0	3
Mrvi1	0	-2.185740125	-1.615535655	2.66899053	0	0	0	0	0	3
mt-Nd6	0	0	0	1.698283368	0	0	0	1.171433106	1.797333086	3
mt-Tm	0	0	-1.579350234	1.457078111	0	0	0	0	1.952857955	3
Mthfd2l	0	-1.586654971	-1.032517015	2.067836233	0	0	0	0	0	3
Mtss1l	0	-2.974271738	-2.034079341	2.207410923	0	0	0	0	0	3
Muc13	0	-2.441692519	-2.490805474	2.594545966	0	0	0	0	0	3
Mvb12b	0	-1.429996498	-1.14789403	1.728127586	0	0	0	0	0	3
Mxd1	0.630957024	-1.241028862	-0.912695461	0	0	0	0	0	0	3
Mxi1	0	-1.143203598	-0.761664132	1.789300578	0	0	0	0	0	3
Mycbp	0	-0.59520364	-0.800167967	1.421903425	0	0	0	0	0	3
Myct1	0	-3.257772974	-2.602865711	2.777266995	0	0	0	0	0	3
Myl6	0	-0.627946799	-0.802208037	1.220113828	0	0	0	0	0	3
Myl9	0	-3.393390292	-2.658450878	2.431796986	0	0	0	0	0	3
Mylk	0	-3.388997373	-2.442185361	3.235106944	0	0	0	0	0	3
Myom1	0	-2.180827804	-1.522067437	2.264416222	0	0	0	0	0	3
Nadk2	0	-1.280433753	0	1.930731597	0	0	0	0	0.665246282	3
Nav1	0	0	-0.769358145	1.566523651	0	0	0	0	0.692860974	3
Nbdy	0	-1.005029001	-1.518705011	1.963663559	0	0	0	0	0	3
Nbea	0	-2.163193953	-1.600819347	3.490864527	0	0	0	0	0	3
Nck2	0	-1.512091364	-1.159107543	2.285210861	0	0	0	0	0	3
Nckap1	0	-2.734541848	-1.698752839	2.607100201	0	0	0	0	0	3
Ncr1	0.796617171	-1.23802434	0	0	0	0	0	0.622867252	0	3
Ndrg1	0	-2.237277369	-1.871943992	2.406236084	0	0	0	0	0	3
Ndufa2	0	0.630874024	-0.58498824	0.659107645	0	0	0	0	0	3
Neb	0	-1.855512438	-0.982582046	1.065009699	0	0	0	0	0	3
Neurl1a	0	-1.041419343	-1.248867201	2.659818738	0	0	0	0	0	3
Nfe2	0	-1.000903924	-1.06695843	1.343339819	0	0	0	0	0	3
Nfia	0	0.747622537	0	-1.6921023	0	0	0	-0.792556363	0	3
Nid1	0	0	0.702973697	-0.822160063	0	0	0	-0.86687106	0	3
Nipal3	0	-1.516505939	-0.925109811	1.735900198	0	0	0	0	0	3
Nipsnap2	0	-0.710601678	-0.647862709	0.948888861	0	0	0	0	0	3
Nkg7	0.702161864	0	0	0	0	0	0	0.81508277	-0.806810799	3
Nlk	0	-1.257501518	-0.741417402	1.538446527	0	0	0	0	0	3
Nlrp10	0	0.791870736	0.651492165	0	0	0	0	0	-0.643746503	3
Nlrp12	0	-0.841016669	-1.040883803	-1.221862945	0	0	0	0	0	3
Nlrp3	0	-0.608405537	-0.736456721	0	0	0	-0.612824748	0	0	3
Nlrp6	0	-3.726482439	-2.854383966	2.326146005	0	0	0	0	0	3
Nlrx1	0	-1.448597239	-1.34250708	1.638454259	0	0	0	0	0	3
Nme2	0	1.125490352	0	0.913387011	0	0	0	0	-0.664902103	3
Nomo1	0	-1.472085916	-1.15206122	1.878554787	0	0	0	0	0	3
Nptn	0	-1.892563674	-1.078109165	2.002336921	0	0	0	0	0	3
Nrgn	0	-3.076693375	-2.968940633	2.731177903	0	0	0	0	0	3
Nwd1	0	-1.56946741	-1.461386208	2.620268729	0	0	0	0	0	3
Nyx	0	-1.582407118	-1.005013839	1.414299804	0	0	0	0	0	3
Oaz2	0	-0.687590261	-0.61315956	1.351855946	0	0	0	0	0	3
Ociad2	0	-1.687716527	-1.600802824	4.191632677	0	0	0	0	0	3
Odc1	0	-1.651375908	-1.210844008	2.348201735	0	0	0	0	0	3
