	Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_Pb_Male_adult	Dolinoy_DEHP_Male_adult	Mutlu_PM2.5_Male_adult	Zhibin_As_Male_adult	Walker_TBT_Male_adt	num
H2-Ab1	0	0.661875287	0	0.749000001	0	0	0.958721711	0	0	3
Hacd1	0	0	0.81612225	-1.071795478	0	0	0	0	-0.875345173	3
Hagh	0	0	-0.98338321	-1.530082806	0	0	-1.238647588	0	0	3
Hba-a2	0	0	-0.850614214	-0.803720503	0	0	0	-0.794048981	0	3
Hbq1b	0	0	-0.92950021	-2.014827046	0	0	-0.942489228	0	0	3
Hcar2	-1.420058976	0	0	1.019315808	0	0	-1.289393878	0	0	3
Hdac4	0	0	0	0.715886349	0	0	-0.659660234	0	-0.589146256	3
Hebp1	0	0	0	-2.016703109	0	0	-1.245046578	-0.792851575	0	3
Hist1h4n	0	-1.139981452	0	-0.831564873	-1.081237604	0	0	0	0	3
Hk1	0	0	0	-0.611882705	0	0	0	0.631331671	-1.179158099	3
Hp	0	0	0	1.28935679	0	0	-0.654190053	0	-0.84388617	3
Hscb	0	0	-0.818563031	-1.216993056	0	0	-0.631709604	0	0	3
Hspd1-ps4	0	0	0.675835482	-0.847594849	0	0	0	0	-1.300694735	3
I730030J21Rik	0	0.978783223	0	0.755104181	0	0	0.681138367	0	0	3
Id1	0	0	0	0	0	0	-0.647924185	-0.69259243	-0.846295581	3
Id3	0	-0.729093042	-0.644405194	-0.695227617	0	0	0	0	0	3
Ier3ip1	0	1.031800144	0.622782459	0	0	0	0	-0.632347619	0	3
Ifi204	0	0.762713336	0	1.066822606	0	0	0	0	-0.850293595	3
Ifi207	0	0	0	1.365880366	0	0	-0.648792852	0	-1.06736119	3
Ifit1bl2	-0.861153696	0	0	0	0	0	-0.7967503	0	-0.917202041	3
Ifit3b	-0.739526699	0	0	0	0	0	-0.709456932	0	-0.972682811	3
Ighj2	0	0	0	-0.732428971	0	0	1.275788002	1.353026438	0	3
Ighv1-22	0	0	0	-0.649652585	-0.718782934	0	0.878931495	0	0	3
Ighv9-1	0	-1.377838622	0	0	-1.084263048	0	0.623372488	0	0	3
Igkv1-110	0	0	0	0	0	0	1.084500461	-0.655224239	0.849450735	3
Igkv1-117	0	0	0	0	0	0	0.941597622	-0.758676556	0.791425393	3
Igkv1-122	0	-2.327104928	0	-1.240547535	0	0	0	0	1.341306633	3
Igkv1-133	0	-2.542834908	-1.759743917	0	0	0	0	-1.660759425	0	3
Igkv1-88	0	-0.975666376	0	0	0	0	1.312939276	0	2.040134927	3
Igkv12-44	0	0	0	0	0	0	1.000885281	-0.651283714	1.00525041	3
Igkv14-100	0	0	0	0	-1.138458939	0	0.720243724	0	0.75901667	3
Igkv17-127	0	-0.64154321	0	0	0	0	1.142401828	0	1.041206542	3
Igkv3-12	0	-0.740731064	0	0	0	0	0.891692251	0	0.769129071	3
Igkv3-4	0	-1.046244599	-0.897057704	0	0	0	0.689036713	0	0	3
Igkv4-57-1	0	0	0	0	0	0	0.87810937	-0.881273128	0.852674059	3
Igkv4-63	0	0	0	0	0	0	0.730454637	-0.784893296	1.00722847	3
Igkv4-74	0	-0.796772584	0	-0.691127348	0	0	0.88513978	0	0	3
Igkv4-91	0	0	0	-0.742617733	0	0	0.847537254	0	0.607362818	3
Igkv5-43	0	-1.015109381	-0.772922167	0	0	0	0	0	0.639220476	3
Igkv6-14	0	0	0	0	-1.192995324	0	1.113304523	0	0.849662528	3
Igkv6-20	0	-0.715069841	0	0	0	0	0.839352052	0	0.966297301	3
Igkv8-24	0	-0.695226996	0	0	0	0	0.948239006	0	0.862313966	3
Igkv9-120	0	0	0	0	0	0	0.76504779	-0.788087533	0.889476438	3
Igkv9-123	0	0	0	0	-1.209044057	0	1.09855106	0	0.947456848	3
Iglv3	0	-0.655876613	0	0	0	0	0	-0.591506895	0.68305845	3
Il13ra1	0	0	0	1.462210022	0	0	-0.706079583	0	-0.591844161	3
Il1f9	-1.011830744	0	0	0.963035872	0	0	-1.068296444	0	0	3
Ilk	0	-1.328555731	0	-0.631418152	0	0	0	0	-0.790857865	3
Immp2l	0	0	0	-1.243069491	0	0	0	-0.687679213	0.663861949	3
Inafm2	0	0	0.659566011	-0.871844106	0	0	0	0	-1.193251387	3
Inf2	0	0	0	-0.842153599	0	0	0	0.690343913	-0.617776046	3
Iscu	0	0	-0.851722972	-0.832726199	0	0	-0.589041216	0	0	3
Isg15	0	0	0	-1.373467701	0	0	-1.613717843	-1.099570587	0	3
Isg20	0	0	-0.982431653	-1.304705261	0	0	-1.16611283	0	0	3
Islr2	0	0	0	-1.065686378	0	0	0.923123193	0	-1.838851768	3
Itga2	0	0	0.673065127	-0.670734485	0	0	0	0	-1.155696905	3
Itga5	0	0	0	0.70405442	0	0	-0.685419983	0	-0.712652428	3
Itgam	0	1.083062733	0	0.998456438	0	0	0	0	-1.465693991	3
Itgb4	0	0	0	-1.69239522	-0.596499776	0	0	0	-0.996051014	3
Itpripl2	0	0	0	1.141454877	0	0	-0.58967046	0	-0.950762064	3
Itsn1	0	-0.682178699	0	-0.75801247	0	0	-0.759018811	0	0	3
Jaml	-0.959393869	0	0	0	0	0	-0.763762697	0	-0.685900155	3
Jdp2	0	0	0	0	0.608064101	0	-0.863028208	0	-0.814491044	3
Jup	0	0	0	-1.249788448	0	0	0	0.745023975	-0.770348867	3
Kcna3	0	-1.302251888	0	0	0	0	-0.856049604	0.871838013	0	3
Kcnj2	0	0	0	0.994335232	0	0	-1.252608756	0	-0.63856823	3
Kcnq5	0	0	0	0.622417213	-1.103193802	0	0	0	0.755746757	3
Kif3c	0	-0.752806116	0	-0.959223435	0	0	0	0	-0.88679683	3
Klhdc8b	0	-1.083237033	0	-1.271284313	0.83291803	0	0	0	0	3
Klra1	0	0.945096203	0	0.909982402	0	0	0	0	0.981529733	3
Lamc1	0	-0.62261588	0	-0.790302323	0	0	0	0	-0.934253748	3
Lars2	0	0	0	-0.755062854	0	0	0	1.304554049	-3.149286047	3
Layn	0	0	0.651282604	-1.153863884	0	0	0	0	-1.070849994	3
Lhfp	0	0	0.698525056	-0.589052874	0	0	0	0	-0.989339857	3
Lrrc25	0	0	0	0.611148913	0	0	0	-0.652634678	-0.968998297	3
Lrrc29	0	0	0	-1.161864558	0	0	-0.640301579	0	-0.850152579	3
Ly6d	0	0	0	-0.681039036	0	0	0.700296359	0	0.656180527	3
Ly6g6f	0	0	0.750456276	-1.05264995	0	0	0	0	-1.06059094	3
M1ap	0	0.711036859	0	-0.892623213	0	0	0	-0.727479659	0	3
Macf1	0	0	0	0.880183484	0	0	-0.588083868	0.852907044	0	3
Maf	0	0.602101451	0	1.280759509	0	0	-0.733923022	0	0	3
Mafb	0	0	0	1.614361111	0	0	-1.028453062	0	-1.566290703	3
Malat1	0	1.203321265	0	1.814624193	0.592238815	0	0	0	0	3
Man2c1os	0	0	0	0	0	0	0.717638467	0.725401921	0.813395909	3
5-Mar	0	0	0	-0.648186327	0	0	-0.861250758	-0.64564191	0	3
Marcks	0	0.607905562	0	1.066605208	0	0	0	-1.202419582	0	3
Mcemp1	0	0	0	0.690903889	0	0	-0.656212456	0	-1.022801778	3
Mdga1	0	0	0	-1.33414143	0	0	0	0.71034394	-0.807150027	3
Mefv	0	0	0	1.542231979	0	0	-1.149329636	0	-1.019860849	3
Memo1	0	-0.781393652	0	-1.036217172	0	0	0	-0.593769321	0	3
Mfap3l	0	0	0.846094194	-0.619144334	0	0	0	0	-1.329105984	3
Mfsd2b	0	0	0.702700077	-0.887029827	0	0	0	0	-1.397665929	3
Mgst3	0	0	0	-1.366688918	0	0	-0.929723868	0	0.66639993	3
Mink1	0	0	0	-0.590788291	0	0	0	0.590553452	-0.745007862	3
Mir6236	0	0	0	-2.828496299	0	0	0	2.26289465	-2.72769778	3
Mki67	0	0	0	-1.300858721	0	0	-1.716902627	1.021240088	0	3
Mmp19	0	-1.077973399	0	-0.814139816	0	0	0	0	-1.319826237	3
Mob3a	0	-0.839178602	0	-0.587399134	0	0	0	0	-0.81198645	3
Mocos	0	0	0	0.664162403	0	0	-0.610737252	0	-0.623607004	3
Mpzl3	-0.606052381	0	0	0.660828467	0	0	-0.775597576	0	0	3
Mrps6	0	0	0	-0.738769732	0	0	0	-0.781598032	0.796548376	3
Ms4a6d	0	0	0	2.075009141	0	0	-1.023308176	0	-1.590703337	3
Msrb1	0	0	0	0.67043101	0	0	0	-0.662887089	-0.635985229	3
mt-Co2	0	1.585357122	0	-1.366904653	0	0	0	-0.735536104	0	3
mt-Nd1	0	1.141686326	0	-0.890274237	0	0	1.035858715	0	0	3
mt-Nd6	0	1.838343698	0	0	0	0	0.83028712	-0.977660659	0	3
Mt1	0	1.08452004	0	0	0	0	-1.479640969	0	-1.083639224	3
Mthfd2l	0	0	0.67199147	-0.981305765	-0.777672529	0	0	0	0	3
Mtss1l	0	0	0	-1.521538797	0	0	0	0.837089896	-0.858448787	3
Muc13	0	0	0.818276092	-1.175521479	0	0	-0.663059501	0	0	3
Muc2	0	0	0	0	0	0	-2.502032516	1.124922153	1.191547532	3
Mvb12b	0	-0.698507414	0	-1.059222069	0	0	0	0	-0.724342686	3
Mxra7	0	0	1.070609916	-1.211072428	0	0	0	0	-1.384529342	3
Mylk3	0	0	0	-1.815102106	0	0	-1.413030045	-1.120740164	0	3
Myof	0	0	0	1.236763398	0	0	-0.615111917	0	-0.784046279	3
Myom1	0	0	0.839986986	-1.321613173	0	0	0	0	-1.31764223	3
Nav1	0	0	0	0	0	0	-0.597263169	0.733374031	-0.816120663	3
Nckap1	0	0	0.789401788	-0.632283812	0	0	0	0	-0.929638201	3
Ncoa4	0	0	-1.021746157	-0.803615115	0	0	-1.060438551	0	0	3
Nhsl2	0	0	0	1.551361609	0	0	-0.60013854	0	-0.628524188	3
Nlrp6	0	0	0.828976255	-1.637052494	0	0	0	0	-0.829864613	3
Nol4l	0	0	0.594024586	-1.500803496	0	0	0	0.663830582	0	3
Nphp3	0	0	0	0	-0.636394706	0	0.924981075	0	0.695489242	3
Nt5c3	0	0	0	-0.859601477	0	0	-0.770990154	-0.608956062	0	3
Nyx	0	-1.209479817	0	-1.268292307	0	0	0	0	-1.094603283	3
Oas1e	0	0	0	-2.504704119	0	0	-1.557654272	-1.204740168	0	3
Oas1g	0	1.063813176	0	1.432331716	0	0	0	0	-1.174717208	3
Oas2	-0.637754746	0	0	0	0	0	-0.908618509	0	-0.67220363	3
Olr1	0	0	0	-0.771397536	0	0	-0.822426681	0	-0.881386656	3
Ophn1	0	0	0.740448222	0	0	0	-0.653594949	0	-0.770505121	3
Oscp1	-1.9580564	0	0	0	0	0	-0.860307419	0	-0.912234477	3
P2rx1	0	0	0.640524543	-0.708064195	0	0	0	0	-1.339579248	3
P2ry10	0	0.746352384	0	0	0	0	0.678533989	0	0.889072369	3
P2ry10b	0	0	0	0.593558717	0	0	0	-0.602368289	0.810129429	3
Pafah1b3	0	0	0	-0.751065135	0	0	0.829573484	0	0.58546615	3
Pard3b	0	0	0	-0.701253691	0	0	0	0.761619716	-0.956722121	3
Parm1	0	0	0	-0.811532104	0	0	0	0.722606856	-1.530600733	3
Pcdh7	0	0	0.88635933	-0.678936952	0	0	0	0	-1.786433921	3
Pcp4l1	0	0	0.68705276	-1.164793185	0	0	0	0	-1.360824248	3
Pcx	0	0	0	-1.277758833	0	0	-0.949293576	0.670247467	0	3
Pde3a	0	0	1.105209848	-0.699833103	0	0	0	0	-1.159667157	3
Pde5a	0	0	1.025579171	-0.69102979	0	0	0	0	-0.80412677	3
Pdgfa	0	0	0.825178618	-1.15983796	0	0	0	0	-1.511469914	3
Peli2	0	0.702188664	0	1.195783882	0	0	-0.769590479	0	0	3
Phgr1	0	-1.130305799	0	-1.226506183	0	0	-0.711730938	0	0	3
Pigf	0	0.731233038	0	0	0	0	0	-0.859298203	0.757794139	3
Pla2g16	0	0	-0.842875418	-1.244693356	0	0	-0.799700636	0	0	3
Pla2g7	0	0.828330834	0	0.962225375	0	0	0	0	-0.59149091	3
Plac8	0	0.869742522	0	0.891119172	0	0	0	-0.770417588	0	3
Pls1	0	0	0.774320793	-0.86264541	0	0	0	0	-1.037440991	3
Plvap	0	0	0.639046106	-1.726955871	0	0	0	0	-1.030128522	3
Plxna4	0	0	0.712444347	-0.681694551	0	0	0	0	-1.269225882	3
Ppp2r5b	0	-0.681609454	0	-1.082207655	0	0	-0.903513488	0	0	3
Prdx2	0	0	0	-1.233392467	0	0	-0.836590249	-0.914247127	0	3
Prelid2	0	0	0	-0.64837255	0	0	0	-1.063646431	0.758368395	3
Prnp	0	0	0	-1.765582711	0	0	-1.088874677	-0.687558482	0	3
Proser2	-0.779304375	0	0	-0.979041394	0	0	0	0	-1.449131273	3
Psd	0	0	0	1.124747239	0	0	0	0.84564962	-1.274783725	3
Psme3	0	0	-0.84072056	-1.073563564	0	0	-0.892818277	0	0	3
Ptger2	0	0	0	0.886344543	0	0	-0.627587583	0	-0.796749845	3
Ptprn	0	0	0.746647656	-1.102784023	0	0	0	0	-1.533158415	3
Pttg1	0	0	0	-1.360041396	0	0	-0.658794538	-0.603117567	0	3
Pygb	0	-0.685136455	0	-0.661044705	0	0	0	0	-1.179887798	3
Pygl	0	0	0	0.694600536	0	0	-0.592930682	0	-0.728055781	3
Pyroxd2	0	0	0	-1.110670014	0	0	0	0.787681162	-1.132183328	3
Rab13	0	0	0.706439497	-1.056260722	0	0	0	0	-1.2099238	3
Rbm3	0.597487816	0.737109768	0	0	0	0	1.034727284	0	0	3
Rec114	0	0	0	-1.94411357	0	0	-0.989923439	-0.964543658	0	3
Retnlg	0	1.531932477	0	0	0	0	0	-0.932879569	-1.102296758	3
Rgs9	0	0	0	-0.719746768	0	0	0	1.057196359	-1.328480056	3
Rhoj	0	0	0.773127756	-0.844111051	0	0	0	0	-1.268810291	3
Ripor3	0	-0.682926497	0	-1.21881154	0	0	0	0	-0.895118111	3
Rnf10	0	0	-0.795996764	-0.844152112	0	0	-0.975808434	0	0	3
Rpl14-ps1	0	1.302441683	0.740250543	0	0	0	0	-0.741990804	0	3
Rpl18-ps1	0	1.372383139	0	0	0	0	0.811785951	-1.704236546	0	3
Rpl22	0	0.613507829	0	0	0	0	0.656045869	-0.656862376	0	3
Rpl22l1	0	0	0	0	0	0	0.59736432	-1.326766188	0.751085929	3
Rpl23a-ps3	0	1.498159036	1.41245783	0	0	0	0	-0.906360425	0	3
Rpl31-ps15	0	0.838287288	0.725777023	0	0	0	0	0	-0.651672577	3
Rpl32l	0	1.231522305	1.462207578	0	0	0	0	-0.883063425	0	3
Rpl34	0	0	0	0	0	0	0.715010108	-0.77281185	0.64421971	3
Rpl35a	0	0	0	0	0	0	0.696125012	-0.694366841	0.620434941	3
Rpl36a-ps2	0	1.405407341	0	0	0	0	0	-0.846753339	0.630112918	3
Rps10-ps1	0	1.365386919	1.270299689	0	0	0	0	-0.754081226	0	3
Rps10-ps2	0	0.765024666	0	0	0	0	0.636402144	-0.682899255	0	3
Rps13-ps2	0	0	0	0	0	0	0.786122135	-0.67244369	0.6999354	3
Rps14	0	0	0	0.905947633	0	0	0.831894216	-0.652535687	0	3
Rps15a	0	0	0	0	0	0	0.722280993	-0.843917958	0.649082377	3
Rps18-ps3	0	1.675049811	0	0	0	0	0.822394693	0	-1.422547751	3
Rps21	0	0	0	0	0	0	0.681256262	-0.920772445	0.623012165	3
Rps27	0	0	0	0	0	0	0.718226906	-1.262545238	0.635486754	3
Rps29	0	0	-0.656235655	0	0	0	0.740972555	-0.646619292	0	3
Rps3a3	0	0.963321411	0.837188378	0.870858643	0	0	0	0	0	3
Rps6-ps4	0	1.304046146	0.779458289	0	0	-0.647440012	0	0	0	3
Rps8	0	0.640039373	0	0	0	0	0.635426832	-0.59962879	0	3
Rpsa-ps10	0	0.881972338	0.905647306	0	0	0	0.71370517	0	0	3
Rtp4	0	0.914240061	0	0	0	0	-0.902161535	0	-0.658378185	3
S100a11	0	0.869158916	0	0.61737382	0	0	0	0	-0.986355627	3
Scamp1	0	0	0.667783731	-0.638491508	0	0	0	0	-0.977986647	3
Scamp5	0	0	0	-1.18282985	0	0	-0.638569666	0	-0.867707534	3
Scgb1c1	0	0	0	-1.090228026	0.674753728	0	0	0	-1.216938598	3
Sdcbp2	0	0.708932124	0	-0.925668853	0	-0.727603699	0	0	0	3
Sdhaf3	0	0	0	0.816311649	0	0	0.664762153	0	0.753214711	3
Sec14l5	0	0	0	-0.937247897	0	0	0	0.741602849	-0.871963239	3
Sec24d	0	0	0	0.920877329	-0.587780941	0	-0.769643356	0	0	3
Sec31b	0	0	-0.736402245	0	0	0	0.620204018	0.854662837	0	3
Sema3g	0	-1.237525549	0	-1.840733755	0	0	0	0	-1.129619103	3
Sema6d	-0.648634615	0	0	-0.946303442	0	0	0	0	-1.214205079	3
Serp2	0	0	0	-0.923088912	0	0	0	-0.95395427	0.963036536	3
Serpine2	0	0	0.66417355	-1.195395084	0	0	0	0	-1.294096484	3
Sez6l2	0	-0.879515767	0	-0.938973293	0	0	0	0	-1.026171978	3
Sh2d4b	0	0	0	-0.823433199	0	0	0	0.627896077	-0.829953126	3
Shank1	0	0	0	0.744394126	0	0	1.0959797	0	0.835054902	3
Siglece	0	0	0	0.840195987	0	0	-0.80933254	0	-0.953966599	3
Slc14a2	0	-1.307953508	0	-1.515801851	0	0	0	0	-1.074386266	3
Slc15a3	0	0	0	0.70762212	0	0	-0.831129131	0	-0.843454163	3
Slc16a12	0	-0.672802204	0.677557219	-0.957180369	0	0	0	0	0	3
Slc16a5	0	0	0	1.154880627	-1.423219294	0	-0.8139315	0	0	3
Slc22a3	0	0	0.646546123	-0.928495375	0	0	0	0	-0.924443345	3
Slc23a1	0	0	0	-0.867439999	0	0	-1.428999755	0	1.162507387	3
Slc24a5	0	-1.23930354	0	-0.889331335	0	0	0	0	-1.227757512	3
Slc25a21	0	0	0	-1.986138849	0	0	-1.125126928	-1.469557186	0	3
Slc25a39	0	0	-0.988362434	-1.591325718	0	0	-0.800182915	0	0	3
Slc48a1	0	0	-0.88513509	-1.468197446	0	0	-0.763363217	0	0	3
Slc6a3	0	0	0	-1.302783193	0	-1.200143801	0	0	-1.713441703	3
Slfn1	0	0	0	0.847820145	0	0	-0.599925439	0	-0.868790344	3
Slfn4	-1.206213251	0	0	1.082716333	0	0	-1.378577533	0	0	3
Smtn	0	0	0	-0.960010938	0	0	0	0.69305481	-1.726694086	3
Snca	0	0	-0.744444503	-0.791952141	0	0	-0.79519736	0	0	3
Snrpert	0	0	0	0	0	0	0.708109218	-0.898932545	0.746224508	3
Sord	0	0	0.882234142	-0.679350223	0	0	0	0	-0.627021576	3
Sox5os2	0	-1.163635647	0	-1.026832232	0	0	0	0	-1.447366543	3
Sox6	0	0	0	-2.612446466	0	0	-1.360285193	-0.969130496	0	3
Sp3os	0	0.903892945	0	-0.846415696	0	0	0	-0.591876502	0	3
Sptb	0	0	0	-1.874407248	0	0	-0.780464769	0.672155622	0	3
Srpk3	0	0	-0.722092467	-0.660876091	0	0	0.987399988	0	0	3
Ssx2ip	0	0	0.612959179	-0.961977541	0	0	0	0	-0.919034681	3
Star	0	0	0	-1.224716842	0	0	0	0.796455745	-0.791576645	3
Stau2	0	0	0.674466203	-0.690732732	0	0	-0.744764918	0	0	3
Steap4	0	0	0	1.3237399	0	0	-1.544581538	0	-1.43815153	3
Syngr1	0	0	0	-2.441542956	-1.058301945	0	-0.950904046	0	0	3
Syt13	0	0	0.886518748	-1.313508002	0	0	0	0	-1.321116976	3
Tal1	0	0	0.674665811	-0.76236943	0	0	0	0	-0.638224436	3
Tarm1	0	0	0	0.948513782	0	0	-1.160544786	0	-1.484561064	3
Tcn2	0	0	0	0.68215365	0	0	-0.761365	0	-1.271895907	3
Tex30	0	0.771467266	0	0	0	0	0	-0.671119475	0.619841605	3
Tfec	-0.68874773	0	0	0	0	0	-0.69178871	-0.655436526	0	3
Thbs1	0	0	0.802793319	0	0	0	0	0.73654912	-1.359861434	3
Tjp2	0	0	0	-0.886454863	0	0	0	0.704250984	-1.006932435	3
Tlr13	0	0	0	0.947969636	0	0	-0.774485473	0	-1.054709376	3
Tlr2	0	0	0	0.680430002	0	0	-0.590633007	0	-0.762281791	3
Tm4sf19	0	-1.470271346	0	-1.168323918	0	0	0	0	-1.205742597	3
Tmc1	0	0	0.893346244	0	-0.786240232	0	0	0	-1.128663912	3
Tmem140	0	-1.089097832	0	-0.60348609	0	0	0	0	-0.866468311	3
Tmem14a	0	0	0.620579516	-0.682985141	0	0	0	0	-0.753240883	3
Tmem158	0	0	0	-1.021719027	0	0	0	-0.623538156	-1.203949482	3
Tnfrsf14	0	0	0	0.971623928	0.890749364	0	-0.610015141	0	0	3
Tnfsf13os	0	0.941228287	0	1.105556968	0	0	0	0	-1.433747362	3
Trim9	0	-0.811329151	0	-1.313392975	0	0	0	0	-1.208268907	3
Trpc1	0	-0.882791697	0	-1.071106149	0	0	0	0	-0.929840528	3
Tspan8	0	0	0	-1.768698207	0	0	-1.695014783	-1.226965931	0	3
Ttll3	-0.621056289	0	-0.733828553	0	0	0	0	0.657307004	0	3
Ttll7	0	0	1.009402217	-1.019689053	0	0	0	0	-1.314242412	3
Txnrd2	0	0	-0.719971359	-1.054205388	0	0	-0.884093731	0	0	3
Ube2b	0	0	0	0	0	0	-0.697037811	-0.808354864	0.642296226	3
Ube2c	0	0	-1.155596874	-1.813730408	0	0	-0.891193241	0	0	3
Ube2m	0	-0.593672922	-0.712267972	-0.897214083	0	0	0	0	0	3
Ube2v1	0	-0.908403012	0	-0.999118766	-0.937583605	0	0	0	0	3
Ube2v2	0	0	0	0.634373184	0	0	0	-0.591003071	0.995498679	3
Ufsp1	0	0	0.745947179	-1.598084962	0	0	0	0	-1.467429542	3
Upb1	0	0.84268207	0	-0.663231214	0	0	0.694940185	0	0	3
Usp15	0	-0.682580056	0	-0.683708153	0	0	-0.995006168	0	0	3
Usp54	0	-0.696336774	0	-0.665623135	0	0	-0.742627264	0	0	3
Vcan	0	0	0	3.272618113	0	0	-1.699157607	0	-2.406429368	3
Vopp1	0	0	-0.670034106	-1.031679292	0	0	-1.053551627	0	0	3
Wdfy3	0	0	0	1.237688919	0	0	-0.991136862	0	-0.609564232	3
Wdr74	0	0	0	-0.833925492	0	0	0.837593043	0	-0.914500361	3
Wdr95	0	0.875063581	0	-1.282109073	0	0	0	-0.737159371	0	3
Wipi1	0	0	0	-1.321137281	-0.784843175	0	-0.932074496	0	0	3
Wnk4	0	0	0	-1.161702197	0	0	0	0.657524849	-0.699784952	3
Wscd2	0	0	0	0.79184372	0	0	0.961782112	0.916058463	0	3
Zbtb33	0	0	0	0.795516319	-0.694970139	0	0	0	1.076566106	3
Zfp119a	0	0	0.613686347	0.852542798	-0.611977233	0	0	0	0	3
Zfp758	0	0	0.716844332	0	-0.652077874	0	0	0	0.610616508	3
Zfp994	0	0.662355155	0.640475291	0.700248834	0	0	0	0	0	3
0610009L18Rik	0	0	0	-1.153062949	0	0	0	-0.818387073	0	2
0610040J01Rik	0	0	0	1.951027565	0	0	0	-1.043827958	0	2
1110020A21Rik	0	0	0	-1.295345351	-0.788492783	0	0	0	0	2
1110032A03Rik	0	0	0	-0.824994291	0	0	0	0	-0.758034688	2
1110046J04Rik	0	0	0	-0.666135293	0	0	0	0	-1.294537112	2
1110051M20Rik	0.848851004	0	0	0.703394834	0	0	0	0	0	2
1500026H17Rik	0	0	0	-1.43631323	0	0	0	-0.705614082	0	2
1700006J14Rik	0	0	0	-1.630519504	0	0	0	0	-0.919426057	2
1700029J07Rik	0	0	0	0	0.895877955	0	0	0	1.063031313	2
1700056E22Rik	0	0	0	-0.940780687	0	0	0	-0.974940906	0	2
1700071M16Rik	-1.168459889	0	0	2.306879035	0	0	0	0	0	2
1700096K18Rik	0	0	0	-1.163007902	0	0	0	0	-0.791517695	2
1700109H08Rik	0	0	0	1.977365952	0	0	0	0.816858171	0	2
2010001A14Rik	0	0	0	-0.633493623	0	0	0	0	-0.622923422	2
2010008C14Rik	0	0	0	0	0	0	0.614326831	-0.653665635	0	2
2010016I18Rik	0	0	0	0.682152346	0	0	0	0.714888399	0	2
2010309G21Rik	0	0.936265905	0	0	0	0	0	0	0.765977982	2
2310010J17Rik	0	0	0	-0.834721751	0	0	0	-1.077958639	0	2
2310034O05Rik	0	0	0	-1.456494138	0	0	0	0	-1.446541544	2
2610001J05Rik	0	0.604569002	0	0	0	0	0	-0.836317308	0	2
2610005L07Rik	0	0	0	1.381714885	0	0	0	0.974029918	0	2
2610306M01Rik	0	0	0	0	0.588833359	0	0.63117739	0	0	2
2900093K20Rik	0	0	0	-0.716021528	0	0	0	-0.594654349	0	2
4732496C06Rik	0	0	0	0	0	0	0.808947318	0	1.133880344	2
4930412F12Rik	0	-0.941371759	0	-1.369127959	0	0	0	0	0	2
4930518I15Rik	0	0	0	0.81167767	1.064742986	0	0	0	0	2
4930522L14Rik	0	0	0	0.605644902	0	0	0	0	0.732369284	2
4930550C14Rik	0	0	0.749070276	-0.758683492	0	0	0	0	0	2
4932441J04Rik	0	0	0	-1.169357205	0	0	0	0	-1.043837632	2
4933407K13Rik	0	-0.790559122	0	0	0	0	0	0.732832102	0	2
4933432K03Rik	0	0	0	-1.222570734	0	0	0	0	-1.6710472	2
4933439C10Rik	0	0	0	0	0.61102482	0	0.727819161	0	0	2
5031434O11Rik	0	0	0	0	0.646739102	0	0.720905468	0	0	2
5033406O09Rik	0	0	0	-1.272794236	0	0	0	0	-0.715348606	2
5430425K12Rik	-1.558340325	0	0	1.138059017	0	0	0	0	0	2
5830416I19Rik	0	0	0	1.901081068	0	0	0	0	1.204854055	2
6230400D17Rik	0	0	0	1.557801163	0	0	1.212892258	0	0	2
6330409D20Rik	0	0	0	0	0	0	0	-0.985715354	-0.860876796	2
6720489N17Rik	0	0.968396619	0	0	0	0	0	0	1.460362217	2
9230116N13Rik	0	1.145369245	0	0	0	0	0.755782037	0	0	2
9330160F10Rik	0	0	0	0.794559454	0.66118098	0	0	0	0	2
9430015G10Rik	0	0	-0.623110084	0	0	0	0	0.644988691	0	2
9930111J21Rik1	0	0	0	0.787750083	0	0	-0.936961101	0	0	2
A130071D04Rik	0	1.912617919	0	0	0.859657008	0	0	0	0	2
A230050P20Rik	0	0	-0.598402923	0	0	0	0	0.809811826	0	2
A430088P11Rik	0	0	0	0	0	-0.724489375	0.63080308	0	0	2
A930004J17Rik	0	0	0	2.391600973	0	0	0	0.937117005	0	2
A930009A15Rik	0	0	0.94941285	-0.950958225	0	0	0	0	0	2
AA986860	0	0	0	-1.613915965	0	0	0	0	-0.674938845	2
Aatk	0	0	0	0.975906239	0	0	0	0	-0.817355083	2
Abca9	0	0	0	2.222865845	0	0	0	0	-1.141695676	2
Abcb7	0	0	0	0.657629979	0	0	0	0	0.713855554	2
Abcd3	0	0	0	0	0	0	-0.717318932	0	1.176602461	2
Abhd17a	0	0	0	-0.663122626	0	0	0	-0.66301221	0	2
AC113595.1	0	0	0	1.243023454	0	0	0	-1.554390248	0	2
AC115954.1	0	0	0.790838154	0	-0.998803261	0	0	0	0	2
AC122253.2	0	0	0	-0.989254977	0	0	0	0	-1.464004857	2
AC125351.1	0	-0.999046946	0	0.758968767	0	0	0	0	0	2
AC154232.2	0	0	0	2.161267111	0	0	0	1.093641973	0	2
AC160637.1	0	0	0	1.100310302	0	0.780411556	0	0	0	2
Acaa1b	0	0.974033959	0	0	0	0	0	2.901769269	0	2
Accs	0	0	0	0	0	0	0.704810389	0.88292812	0	2
Accsl	0	0	0	-1.44351395	0	0	0	0	-1.027122011	2
