	AL_TCDD_M_Bl_adt	BA_BPA10mg_M_Bl_adt	BA_BPA10ug_M_Bl_adt	BI_PM2.5_M_Bl_adt	DO_Pb_M_Bl_adt	DO_DEHP_M_Bl_adt	MU_PM2.5_M_Bl_adt	ZB_As_M_Bl_adlt	WK_TBT_M_Bl_adt
Trmt13	0	0	0	0	0	0	0	0.594521974	0
Xndc1	0	0	0	0	0	0	0	0.592086364	0
Proser1	0	0	0	0	0	0	0	0.591148935	0
Baz2b	0	0	0	0	0	0	0	0.589832348	0
Nlrc3	0	0	0	0	0	0	0	0.589402335	0
Tmem63b	0	0	0	0	0	0	0	0.5873269	0
Neil1	0	0	0	0	0	0	0	0.585781084	0
BC024978	0	0	0	0	0	0	0	0.585295348	0
Tespa1	0	0	0	0	0	0	0	0.585219528	0
Hspa1a	0	0	0	0	0	0	2.029352068	0	0
Hspa1b	0	0	0	0	0	0	1.857304244	0	0
Gm15536	0	0	0	0	0	0	1.504146735	0	0
Gm22175	0	0	0	0	0	0	1.457920723	0	0
Gm38220	0	0	0	0	0	0	1.36194259	0	0
Ighv1-71	0	0	0	0	0	0	1.350597687	0	0
Crisp3	0	0	0	0	0	0	1.305802018	0	0
Fcer2a	0	0	0	0	0	0	1.268528423	0	0
Gm11690	0	0	0	0	0	0	1.249801461	0	0
H2-Oa	0	0	0	0	0	0	1.236686165	0	0
Igkv3-5	0	0	0	0	0	0	1.230404516	0	0
Mybpc2	0	0	0	0	0	0	1.219858344	0	0
Rwdd3	0	0	0	0	0	0	1.212093749	0	0
Gm25747	0	0	0	0	0	0	1.189551211	0	0
Igkv4-61	0	0	0	0	0	0	1.177870913	0	0
Ngfr	0	0	0	0	0	0	1.156979825	0	0
Igkv6-25	0	0	0	0	0	0	1.150722218	0	0
Ighv1-81	0	0	0	0	0	0	1.147814455	0	0
H2-Eb1	0	0	0	0	0	0	1.146029162	0	0
Ighv6-6	0	0	0	0	0	0	1.140120222	0	0
Cd79a	0	0	0	0	0	0	1.133450016	0	0
Ighv14-2	0	0	0	0	0	0	1.133135719	0	0
Ighv10-3	0	0	0	0	0	0	1.128410594	0	0
Gm12159	0	0	0	0	0	0	1.114613566	0	0
Srms	0	0	0	0	0	0	1.107326142	0	0
Igkc	0	0	0	0	0	0	1.106583725	0	0
Ighv1-54	0	0	0	0	0	0	1.090661506	0	0
Dkkl1	0	0	0	0	0	0	1.088419599	0	0
Nrm	0	0	0	0	0	0	1.086837989	0	0
Ighv7-3	0	0	0	0	0	0	1.084995688	0	0
Gm47230	0	0	0	0	0	0	1.071659693	0	0
Ighd	0	0	0	0	0	0	1.066231028	0	0
Igkj1	0	0	0	0	0	0	1.052516901	0	0
Ighv1-52	0	0	0	0	0	0	1.036888437	0	0
Ighv1-47	0	0	0	0	0	0	1.033275763	0	0
Pbx4	0	0	0	0	0	0	1.032112506	0	0
H2-DMa	0	0	0	0	0	0	1.030138263	0	0
Slc4a8	0	0	0	0	0	0	1.02470089	0	0
Mir5107	0	0	0	0	0	0	1.019017024	0	0
Fcmr	0	0	0	0	0	0	1.017934838	0	0
Cd19	0	0	0	0	0	0	1.00747991	0	0
Cpne5	0	0	0	0	0	0	1.001933523	0	0
Igkv6-32	0	0	0	0	0	0	1.000229157	0	0
Mzb1	0	0	0	0	0	0	0.998715866	0	0
Igkv4-53	0	0	0	0	0	0	0.997650897	0	0
Dnajb1	0	0	0	0	0	0	0.993725026	0	0
Igkv3-7	0	0	0	0	0	0	0.961090324	0	0
Grasp	0	0	0	0	0	0	0.951938535	0	0
Gm32220	0	0	0	0	0	0	0.947585245	0	0
H2-Ob	0	0	0	0	0	0	0.940617058	0	0
Ccr7	0	0	0	0	0	0	0.931663697	0	0
Cxcr5	0	0	0	0	0	0	0.918598395	0	0
Kcnk5	0	0	0	0	0	0	0.918550581	0	0
Spata24	0	0	0	0	0	0	0.917090723	0	0
Cd22	0	0	0	0	0	0	0.912429952	0	0
Igkv8-28	0	0	0	0	0	0	0.909183094	0	0
Tagap	0	0	0	0	0	0	0.907584834	0	0
Ighv1-18	0	0	0	0	0	0	0.907108129	0	0
Cd79b	0	0	0	0	0	0	0.90257574	0	0
Ephx1	0	0	0	0	0	0	0.899892558	0	0
Igkv3-1	0	0	0	0	0	0	0.897169384	0	0
Mir17hg	0	0	0	0	0	0	0.896944117	0	0
Lamp3	0	0	0	0	0	0	0.890027608	0	0
Sox12	0	0	0	0	0	0	0.889377912	0	0
Trpt1	0	0	0	0	0	0	0.887659026	0	0
Spag1	0	0	0	0	0	0	0.886883312	0	0
Cd37	0	0	0	0	0	0	0.88493623	0	0
Igkv4-55	0	0	0	0	0	0	0.883194107	0	0
Prpf40b	0	0	0	0	0	0	0.881566674	0	0
Gstt2	0	0	0	0	0	0	0.873099326	0	0
Ighm	0	0	0	0	0	0	0.862512247	0	0
Gm24022	0	0	0	0	0	0	0.853590632	0	0
Fcrl1	0	0	0	0	0	0	0.852926408	0	0
Blk	0	0	0	0	0	0	0.848838307	0	0
Irf4	0	0	0	0	0	0	0.848489794	0	0
Lta	0	0	0	0	0	0	0.84674497	0	0
Ftx	0	0	0	0	0	0	0.829680771	0	0
Zfp647	0	0	0	0	0	0	0.824150827	0	0
Slc4a11	0	0	0	0	0	0	0.823595284	0	0
Ighv2-2	0	0	0	0	0	0	0.819651007	0	0
Pml	0	0	0	0	0	0	0.819506052	0	0
Hdac9	0	0	0	0	0	0	0.817117092	0	0
Bfsp2	0	0	0	0	0	0	0.806962398	0	0
H2-DMb2	0	0	0	0	0	0	0.804647489	0	0
Ighv1-5	0	0	0	0	0	0	0.802667208	0	0
Tnfrsf13b	0	0	0	0	0	0	0.799249244	0	0
Igkv2-112	0	0	0	0	0	0	0.797232136	0	0
Gm28151	0	0	0	0	0	0	0.796023758	0	0
Gm47992	0	0	0	0	0	0	0.795133192	0	0
St6gal1	0	0	0	0	0	0	0.790509545	0	0
Gm20257	0	0	0	0	0	0	0.78456899	0	0
Tmem108	0	0	0	0	0	0	0.784283181	0	0
Fndc10	0	0	0	0	0	0	0.783802585	0	0
Ighv1-7	0	0	0	0	0	0	0.781244026	0	0
Colq	0	0	0	0	0	0	0.779465089	0	0
Rpl8	0	0	0	0	0	0	0.778730731	0	0
Syce2	0	0	0	0	0	0	0.77797132	0	0
Ppargc1b	0	0	0	0	0	0	0.777680775	0	0
Chrnb1	0	0	0	0	0	0	0.772332007	0	0
Fcrla	0	0	0	0	0	0	0.771144741	0	0
Slc27a1	0	0	0	0	0	0	0.768630842	0	0
Scd1	0	0	0	0	0	0	0.76830204	0	0
Gm16023	0	0	0	0	0	0	0.767975326	0	0
Cxxc5	0	0	0	0	0	0	0.765327669	0	0
Ighv1-82	0	0	0	0	0	0	0.764660306	0	0
Amigo2	0	0	0	0	0	0	0.761373582	0	0
Rasal1	0	0	0	0	0	0	0.756593435	0	0
Qrfp	0	0	0	0	0	0	0.755209582	0	0
Haao	0	0	0	0	0	0	0.753575645	0	0
Slco4a1	0	0	0	0	0	0	0.753099426	0	0
Rftn2	0	0	0	0	0	0	0.752435154	0	0
Prr5	0	0	0	0	0	0	0.750383958	0	0
Rps15	0	0	0	0	0	0	0.748924823	0	0
2810405F17Rik	0	0	0	0	0	0	0.748814514	0	0
B3gnt8	0	0	0	0	0	0	0.745891946	0	0
Serpinb7	0	0	0	0	0	0	0.742257682	0	0
Rpl12	0	0	0	0	0	0	0.734298868	0	0
Sfn	0	0	0	0	0	0	0.733286091	0	0
9-Mar	0	0	0	0	0	0	0.729798686	0	0
Tmem8b	0	0	0	0	0	0	0.726800781	0	0
Plxna3	0	0	0	0	0	0	0.726549355	0	0
Ighv1-64	0	0	0	0	0	0	0.72493182	0	0
Rpl18a	0	0	0	0	0	0	0.723738423	0	0
Rpl28-ps1	0	0	0	0	0	0	0.71849072	0	0
Rab39	0	0	0	0	0	0	0.718369954	0	0
Gga2	0	0	0	0	0	0	0.716672784	0	0
BC025920	0	0	0	0	0	0	0.716276842	0	0
Aldoc	0	0	0	0	0	0	0.713759926	0	0
Zcchc3	0	0	0	0	0	0	0.712573629	0	0
Rps9	0	0	0	0	0	0	0.712380878	0	0
Rpl10a	0	0	0	0	0	0	0.711474986	0	0
Extl1	0	0	0	0	0	0	0.711433014	0	0
Ogfod3	0	0	0	0	0	0	0.711286153	0	0
Swap70	0	0	0	0	0	0	0.702995917	0	0
Rpl18	0	0	0	0	0	0	0.702062083	0	0
Rack1	0	0	0	0	0	0	0.701627956	0	0
Rasgef1b	0	0	0	0	0	0	0.701554896	0	0
Krtcap3	0	0	0	0	0	0	0.700537026	0	0
Rpl19	0	0	0	0	0	0	0.699434518	0	0
Ccdc114	0	0	0	0	0	0	0.697228031	0	0
Ighv1-75	0	0	0	0	0	0	0.696778736	0	0
Mrgpre	0	0	0	0	0	0	0.693864821	0	0
Gm42940	0	0	0	0	0	0	0.693831179	0	0
Aff3	0	0	0	0	0	0	0.692697278	0	0
Rpl28	0	0	0	0	0	0	0.689871575	0	0
Capg	0	0	0	0	0	0	0.688424382	0	0
Rpl3	0	0	0	0	0	0	0.687792069	0	0
Klf16	0	0	0	0	0	0	0.685539993	0	0
Gpr18	0	0	0	0	0	0	0.685327412	0	0
Spns3	0	0	0	0	0	0	0.684324031	0	0
4933431K14Rik	0	0	0	0	0	0	0.683283381	0	0
Rnf26	0	0	0	0	0	0	0.682333841	0	0
Mrnip	0	0	0	0	0	0	0.678229774	0	0
Eef2	0	0	0	0	0	0	0.676313323	0	0
Cdt1	0	0	0	0	0	0	0.674053248	0	0
Hexb	0	0	0	0	0	0	0.673843536	0	0
Rpl32	0	0	0	0	0	0	0.670978453	0	0
Icam2	0	0	0	0	0	0	0.669650121	0	0
Ighv1-69	0	0	0	0	0	0	0.666443522	0	0
1700037C18Rik	0	0	0	0	0	0	0.665833056	0	0
Foxo1	0	0	0	0	0	0	0.665485871	0	0
Pax5	0	0	0	0	0	0	0.665065809	0	0
Pcbp4	0	0	0	0	0	0	0.664867577	0	0
Eif3f	0	0	0	0	0	0	0.663095616	0	0
Snx8	0	0	0	0	0	0	0.659076777	0	0
Gm48226	0	0	0	0	0	0	0.65876943	0	0
Pgls	0	0	0	0	0	0	0.65634443	0	0
Rpl23	0	0	0	0	0	0	0.655500338	0	0
Rpl29	0	0	0	0	0	0	0.654609012	0	0
Ighv1-55	0	0	0	0	0	0	0.654509269	0	0
Rpl23a	0	0	0	0	0	0	0.653752273	0	0
Tgif1	0	0	0	0	0	0	0.652986384	0	0
Rragb	0	0	0	0	0	0	0.651572496	0	0
Sdc4	0	0	0	0	0	0	0.651478657	0	0
Ly6e	0	0	0	0	0	0	0.651288864	0	0
Epb41l5	0	0	0	0	0	0	0.651162272	0	0
Nid1	0	0	0	0	0	0	0.651022045	0	0
Pcgf6	0	0	0	0	0	0	0.647808048	0	0
Cnn3	0	0	0	0	0	0	0.647644511	0	0
Rps4x	0	0	0	0	0	0	0.647120888	0	0
Gm43388	0	0	0	0	0	0	0.644577258	0	0
G430095P16Rik	0	0	0	0	0	0	0.64427526	0	0
Parp1	0	0	0	0	0	0	0.639940919	0	0
Ptpdc1	0	0	0	0	0	0	0.639156691	0	0
Eif3i	0	0	0	0	0	0	0.638970577	0	0
Alg3	0	0	0	0	0	0	0.637528138	0	0
Mccc2	0	0	0	0	0	0	0.636594603	0	0
Rpl9	0	0	0	0	0	0	0.636392187	0	0
2-Mar	0	0	0	0	0	0	0.634485191	0	0
Ubc	0	0	0	0	0	0	0.632937813	0	0
Ighv1-26	0	0	0	0	0	0	0.632917061	0	0
Renbp	0	0	0	0	0	0	0.632544308	0	0
Ighv1-50	0	0	0	0	0	0	0.632344906	0	0
Blnk	0	0	0	0	0	0	0.629371642	0	0
Clybl	0	0	0	0	0	0	0.629363402	0	0
Rpl26	0	0	0	0	0	0	0.629034667	0	0
Rsrp1	0	0	0	0	0	0	0.629021008	0	0
Cd2	0	0	0	0	0	0	0.628748816	0	0
Stac2	0	0	0	0	0	0	0.628654265	0	0
Rpgr	0	0	0	0	0	0	0.627719628	0	0
Cd83	0	0	0	0	0	0	0.627713575	0	0
Rps17	0	0	0	0	0	0	0.624906358	0	0
Hs3st1	0	0	0	0	0	0	0.622839921	0	0
Cxcr4	0	0	0	0	0	0	0.620375222	0	0
9330175E14Rik	0	0	0	0	0	0	0.61906186	0	0
Map3k1	0	0	0	0	0	0	0.618222639	0	0
Pkib	0	0	0	0	0	0	0.617351999	0	0
Phf7	0	0	0	0	0	0	0.617332739	0	0
Fancc	0	0	0	0	0	0	0.617302918	0	0
2310039H08Rik	0	0	0	0	0	0	0.615747093	0	0
Phykpl	0	0	0	0	0	0	0.610623376	0	0
Avpi1	0	0	0	0	0	0	0.608713385	0	0
Rpl37	0	0	0	0	0	0	0.608184627	0	0
Acbd6	0	0	0	0	0	0	0.60811748	0	0
Zfp940	0	0	0	0	0	0	0.607787928	0	0
Enpp1	0	0	0	0	0	0	0.607686122	0	0
Scimp	0	0	0	0	0	0	0.606218605	0	0
Rpl7a	0	0	0	0	0	0	0.605081808	0	0
Sars2	0	0	0	0	0	0	0.60476616	0	0
Rpl6	0	0	0	0	0	0	0.604454237	0	0
Klc2	0	0	0	0	0	0	0.603790659	0	0
Lat2	0	0	0	0	0	0	0.602053152	0	0
Sbk1	0	0	0	0	0	0	0.599511794	0	0
Bcl2l12	0	0	0	0	0	0	0.599493451	0	0
Pick1	0	0	0	0	0	0	0.598107347	0	0
Nop53	0	0	0	0	0	0	0.597510534	0	0
Ebf1	0	0	0	0	0	0	0.596557202	0	0
Gne	0	0	0	0	0	0	0.596325396	0	0
Rps6	0	0	0	0	0	0	0.594294023	0	0
Vmac	0	0	0	0	0	0	0.593533111	0	0
Rpl11	0	0	0	0	0	0	0.592871763	0	0
Zfp956	0	0	0	0	0	0	0.591027316	0	0
Rps3a1	0	0	0	0	0	0	0.590799268	0	0
Cdk2	0	0	0	0	0	0	0.590082647	0	0
Mcoln3	0	0	0	0	0	0	0.589851597	0	0
Gdf11	0	0	0	0	0	0	0.58893867	0	0
Rpl15	0	0	0	0	0	0	0.588671127	0	0
Foxp4	0	0	0	0	0	0	0.588575676	0	0
Elp3	0	0	0	0	0	0	0.588463085	0	0
Lancl1	0	0	0	0	0	0	0.588310348	0	0
Mettl26	0	0	0	0	0	0	0.5875972	0	0
Mlh1	0	0	0	0	0	0	0.587162099	0	0
Ccdc171	0	0	0	0	0	0	0.58498839	0	0
Mpo	0	0	0	0	0	3.04514405	0	0	0
Ngp	0	0	0	0	0	2.593184395	0	0	0
Gm49204	0	0	0	0	0	1.315792108	0	0	0
Ighv5-16	0	0	0	0	0	0.998412706	0	0	0
Cpa2	0	0	0	0	0	0.992692108	0	0	0
Lpar5	0	0	0	0	0	0.926285779	0	0	0
Gm43039	0	0	0	0	0	0.899528625	0	0	0
5830411N06Rik	0	0	0	0	0	0.892437557	0	0	0
Gm15931	0	0	0	0	0	0.874748886	0	0	0
Sorbs1	0	0	0	0	0	0.798347928	0	0	0
Fam120c	0	0	0	0	0	0.764729547	0	0	0
Gm8066	0	0	0	0	0	0.732849911	0	0	0
Nxpe4	0	0	0	0	0	0.704123635	0	0	0
Fnbp1l	0	0	0	0	0	0.691148949	0	0	0
2610507I01Rik	0	0	0	0	0	0.650917502	0	0	0
Ighv1-72	0	0	0	0	0	0.616496889	0	0	0
Ighv1-85	0	0	0	0	1.232658784	0	0	0	0
AA467197	0	0	0	0	1.119819348	0	0	0	0
Gm20234	0	0	0	0	1.057593237	0	0	0	0
Gm21811	0	0	0	0	0.994976102	0	0	0	0
Scarna2	0	0	0	0	0.945233075	0	0	0	0
CT571247.2	0	0	0	0	0.908861981	0	0	0	0
Vwa7	0	0	0	0	0.886946502	0	0	0	0
Klra13-ps	0	0	0	0	0.88486315	0	0	0	0
Gm44428	0	0	0	0	0.876078974	0	0	0	0
Tfpi	0	0	0	0	0.865932558	0	0	0	0
Gpx8	0	0	0	0	0.865579243	0	0	0	0
Snord104	0	0	0	0	0.849265545	0	0	0	0
Hist1h1e	0	0	0	0	0.807899384	0	0	0	0
Rilpl1	0	0	0	0	0.793328597	0	0	0	0
Gm19391	0	0	0	0	0.777085379	0	0	0	0
Rgs11	0	0	0	0	0.767921943	0	0	0	0
Nebl	0	0	0	0	0.735440505	0	0	0	0
Gm48768	0	0	0	0	0.712619792	0	0	0	0
Mypopos	0	0	0	0	0.680184792	0	0	0	0
Spaca6	0	0	0	0	0.661968981	0	0	0	0
Cox17	0	0	0	0	0.621220638	0	0	0	0
Grk4	0	0	0	0	0.611106428	0	0	0	0
Gm19719	0	0	0	3.907115762	0	0	0	0	0
Gm10252	0	0	0	3.078680154	0	0	0	0	0
Gm45884	0	0	0	2.909269413	0	0	0	0	0
Ptger1	0	0	0	2.6566332	0	0	0	0	0
Gm45515	0	0	0	2.653562965	0	0	0	0	0
Mir142b	0	0	0	2.561387859	0	0	0	0	0
Cttnbp2nl	0	0	0	2.352936663	0	0	0	0	0
Chil3	0	0	0	2.289213192	0	0	0	0	0
Tnfrsf11a	0	0	0	2.260665215	0	0	0	0	0
Gm17552	0	0	0	2.241905168	0	0	0	0	0
Abca6	0	0	0	2.237211109	0	0	0	0	0
Gm5960	0	0	0	2.231593549	0	0	0	0	0
Gm26541	0	0	0	2.181890463	0	0	0	0	0
Slc26a10	0	0	0	2.120791575	0	0	0	0	0
Plau	0	0	0	1.985861731	0	0	0	0	0
Amer2	0	0	0	1.960511654	0	0	0	0	0
Met	0	0	0	1.948264798	0	0	0	0	0
Depdc7	0	0	0	1.942676661	0	0	0	0	0
6720427I07Rik	0	0	0	1.928513989	0	0	0	0	0
Mpeg1	0	0	0	1.92813281	0	0	0	0	0
Chic1	0	0	0	1.911674947	0	0	0	0	0
Idi1	0	0	0	1.908740491	0	0	0	0	0
Cysltr1	0	0	0	1.866981288	0	0	0	0	0
Lyz2	0	0	0	1.842684824	0	0	0	0	0
Gm45110	0	0	0	1.823451698	0	0	0	0	0
Piwil2	0	0	0	1.797845968	0	0	0	0	0
Sycp2	0	0	0	1.775790688	0	0	0	0	0
Ms4a6c	0	0	0	1.768721551	0	0	0	0	0
Stxbp6	0	0	0	1.732284092	0	0	0	0	0
CT010467.1	0	0	0	1.724794419	0	0	0	0	0
Bmpr1a	0	0	0	1.718289223	0	0	0	0	0
Ms4a4a	0	0	0	1.711551268	0	0	0	0	0
2610037D02Rik	0	0	0	1.687792625	0	0	0	0	0
Pkd2	0	0	0	1.675852583	0	0	0	0	0
Cfh	0	0	0	1.671933282	0	0	0	0	0
Rnd3	0	0	0	1.655447532	0	0	0	0	0
Gm16214	0	0	0	1.648114235	0	0	0	0	0
Gm26551	0	0	0	1.642072251	0	0	0	0	0
Nt5dc2	0	0	0	1.63119113	0	0	0	0	0
Nlrp1a	0	0	0	1.626913668	0	0	0	0	0
Gm26586	0	0	0	1.624219743	0	0	0	0	0
E230016K23Rik	0	0	0	1.620514905	0	0	0	0	0
Gm20721	0	0	0	1.602314512	0	0	0	0	0
Tlr5	0	0	0	1.568862543	0	0	0	0	0
Gm45894	0	0	0	1.558011989	0	0	0	0	0
Gm37472	0	0	0	1.552651499	0	0	0	0	0
Gm42372	0	0	0	1.518432307	0	0	0	0	0
Stab1	0	0	0	1.507671441	0	0	0	0	0
Gm17455	0	0	0	1.485064415	0	0	0	0	0
Epha1	0	0	0	1.484320431	0	0	0	0	0
Rhou	0	0	0	1.481033534	0	0	0	0	0
AI839979	0	0	0	1.478183069	0	0	0	0	0
A330023F24Rik	0	0	0	1.465362756	0	0	0	0	0
Nr3c2	0	0	0	1.462643671	0	0	0	0	0
Gm16091	0	0	0	1.443958203	0	0	0	0	0
B630019A10Rik	0	0	0	1.439019181	0	0	0	0	0
Pde6h	0	0	0	1.437962071	0	0	0	0	0
Pstpip2	0	0	0	1.436728916	0	0	0	0	0
Cerkl	0	0	0	1.426287291	0	0	0	0	0
Entpd3	0	0	0	1.41871336	0	0	0	0	0
Gm10509	0	0	0	1.415848325	0	0	0	0	0
Adap2	0	0	0	1.40787036	0	0	0	0	0
Nlrp1b	0	0	0	1.406475809	0	0	0	0	0
Klra2	0	0	0	1.395413242	0	0	0	0	0
Abcd2	0	0	0	1.392278915	0	0	0	0	0
Deptor	0	0	0	1.37630447	0	0	0	0	0
Gm7665	0	0	0	1.375364291	0	0	0	0	0
Gm37033	0	0	0	1.363812625	0	0	0	0	0
Ifi211	0	0	0	1.359391223	0	0	0	0	0
Spred1	0	0	0	1.359151697	0	0	0	0	0
Gm47242	0	0	0	1.352135031	0	0	0	0	0
Clec5a	0	0	0	1.345849404	0	0	0	0	0
Gm45220	0	0	0	1.342501866	0	0	0	0	0
Gm46224	0	0	0	1.342094102	0	0	0	0	0
Gm7514	0	0	0	1.341944309	0	0	0	0	0
10-Sep	0	0	0	1.340032243	0	0	0	0	0
Trps1	0	0	0	1.336025527	0	0	0	0	0
Klra14-ps	0	0	0	1.330092715	0	0	0	0	0
Gm15920	0	0	0	1.328916405	0	0	0	0	0
Slc16a7	0	0	0	1.320350353	0	0	0	0	0
2010109I03Rik	0	0	0	1.319836661	0	0	0	0	0
Gm10130	0	0	0	1.319189954	0	0	0	0	0
Gm6206	0	0	0	1.312744239	0	0	0	0	0
Gm47087	0	0	0	1.304058684	0	0	0	0	0
C3	0	0	0	1.302365022	0	0	0	0	0
1500004A13Rik	0	0	0	1.289908806	0	0	0	0	0
Fzd4	0	0	0	1.289850875	0	0	0	0	0
Klrc3	0	0	0	1.282456307	0	0	0	0	0
Rnase4	0	0	0	1.28240284	0	0	0	0	0
Alpk1	0	0	0	1.280453399	0	0	0	0	0
5730409E04Rik	0	0	0	1.276160153	0	0	0	0	0
Bahcc1	0	0	0	1.272589353	0	0	0	0	0
Gm42528	0	0	0	1.26339492	0	0	0	0	0
Dnajb14	0	0	0	1.263272295	0	0	0	0	0
Ctsc	0	0	0	1.262260456	0	0	0	0	0
Tmtc3	0	0	0	1.258153241	0	0	0	0	0
Hk2	0	0	0	1.248512118	0	0	0	0	0
Gm26857	0	0	0	1.245574541	0	0	0	0	0
Fan1	0	0	0	1.244820806	0	0	0	0	0
C1rl	0	0	0	1.242226728	0	0	0	0	0
Rpl7a-ps5	0	0	0	1.234024537	0	0	0	0	0
Wdr38	0	0	0	1.233211908	0	0	0	0	0
Anxa3	0	0	0	1.232932125	0	0	0	0	0
Amot	0	0	0	1.229929893	0	0	0	0	0
Znf41-ps	0	0	0	1.225032056	0	0	0	0	0
Flvcr1	0	0	0	1.224960122	0	0	0	0	0
Slfn3	0	0	0	1.222741048	0	0	0	0	0
Vwa5a	0	0	0	1.22174983	0	0	0	0	0
Ar	0	0	0	1.219847381	0	0	0	0	0
Gpr141	0	0	0	1.219485244	0	0	0	0	0
Atp2b1	0	0	0	1.21677498	0	0	0	0	0
Atp11c	0	0	0	1.208975663	0	0	0	0	0
Gm16638	0	0	0	1.203623992	0	0	0	0	0
Sash1	0	0	0	1.203426034	0	0	0	0	0
Arhgef37	0	0	0	1.201772639	0	0	0	0	0
Itga1	0	0	0	1.200476365	0	0	0	0	0
Mrc1	0	0	0	1.198753442	0	0	0	0	0
Celf4	0	0	0	1.193834369	0	0	0	0	0
Frmd4a	0	0	0	1.190401239	0	0	0	0	0
Bbs12	0	0	0	1.182826762	0	0	0	0	0
Gdap10	0	0	0	1.17753851	0	0	0	0	0
Batf3	0	0	0	1.175042697	0	0	0	0	0
Papss2	0	0	0	1.173817718	0	0	0	0	0
Klrc2	0	0	0	1.16570155	0	0	0	0	0
Abca1	0	0	0	1.157065458	0	0	0	0	0
Gm9887	0	0	0	1.155839603	0	0	0	0	0
Clec4n	0	0	0	1.149319224	0	0	0	0	0
Ms4a4c	0	0	0	1.14303416	0	0	0	0	0
Hdgfl3	0	0	0	1.140834786	0	0	0	0	0
Ptprc	0	0	0	1.139805974	0	0	0	0	0
Rusc2	0	0	0	1.138758439	0	0	0	0	0
Sell	0	0	0	1.136023854	0	0	0	0	0
Sowahc	0	0	0	1.135450384	0	0	0	0	0
Slfn10-ps	0	0	0	1.133852495	0	0	0	0	0
Gpr15	0	0	0	1.132453008	0	0	0	0	0
Map3k20	0	0	0	1.125940581	0	0	0	0	0
Itga4	0	0	0	1.122348509	0	0	0	0	0
Mdfic	0	0	0	1.119301725	0	0	0	0	0
Gm28053	0	0	0	1.115559868	0	0	0	0	0
Bivm	0	0	0	1.113451378	0	0	0	0	0
Gm6934	0	0	0	1.112847613	0	0	0	0	0
1300014J16Rik	0	0	0	1.110584341	0	0	0	0	0
Slc8a1	0	0	0	1.109611418	0	0	0	0	0
Rbpj	0	0	0	1.103707999	0	0	0	0	0
Gm7666	0	0	0	1.103309145	0	0	0	0	0
Cd300lg	0	0	0	1.100450772	0	0	0	0	0
Zkscan8	0	0	0	1.099731285	0	0	0	0	0
Gm40787	0	0	0	1.098735053	0	0	0	0	0
Atrnl1	0	0	0	1.096111467	0	0	0	0	0
Dpep2	0	0	0	1.08748996	0	0	0	0	0
Dse	0	0	0	1.086721435	0	0	0	0	0
St8sia4	0	0	0	1.085971554	0	0	0	0	0
Qser1	0	0	0	1.077777389	0	0	0	0	0
Tmem150b	0	0	0	1.077688499	0	0	0	0	0
Guca1a	0	0	0	1.075064571	0	0	0	0	0
D3Ertd751e	0	0	0	1.074731808	0	0	0	0	0
Mcub	0	0	0	1.070929895	0	0	0	0	0
Chrnb2	0	0	0	1.067759222	0	0	0	0	0
Tlr3	0	0	0	1.064740286	0	0	0	0	0
Ern1	0	0	0	1.062265035	0	0	0	0	0
Gm12183	0	0	0	1.061890084	0	0	0	0	0
Gm20513	0	0	0	1.061463377	0	0	0	0	0
Dna2	0	0	0	1.061294237	0	0	0	0	0
Dmxl1	0	0	0	1.06113521	0	0	0	0	0
Msantd3	0	0	0	1.050389586	0	0	0	0	0
Gm7694	0	0	0	1.049836308	0	0	0	0	0
Zfp97	0	0	0	1.049447964	0	0	0	0	0
Clec7a	0	0	0	1.048388909	0	0	0	0	0
Gm32633	0	0	0	1.047377673	0	0	0	0	0
Gm35154	0	0	0	1.047094966	0	0	0	0	0
Rassf4	0	0	0	1.045831803	0	0	0	0	0
Tbc1d12	0	0	0	1.036729279	0	0	0	0	0
Cdh22	0	0	0	1.034125504	0	0	0	0	0
Gm19261	0	0	0	1.032445451	0	0	0	0	0
Lnpep	0	0	0	1.028213946	0	0	0	0	0
Gm13091	0	0	0	1.027738159	0	0	0	0	0
Gm15729	0	0	0	1.027350269	0	0	0	0	0
Zfp72	0	0	0	1.021880165	0	0	0	0	0
Sema5a	0	0	0	1.021330175	0	0	0	0	0
Tlr4	0	0	0	1.018264499	0	0	0	0	0
Crip3	0	0	0	1.016187272	0	0	0	0	0
4930431P19Rik	0	0	0	1.010092445	0	0	0	0	0
Tmppe	0	0	0	1.00843689	0	0	0	0	0
Reep3	0	0	0	1.007389325	0	0	0	0	0
E230029C05Rik	0	0	0	1.004443157	0	0	0	0	0
Slc39a10	0	0	0	1.004386978	0	0	0	0	0
A530030E21Rik	0	0	0	1.004014835	0	0	0	0	0
Zfp619	0	0	0	1.002528675	0	0	0	0	0
Gspt2	0	0	0	1.000118364	0	0	0	0	0
Glcci1	0	0	0	0.997570718	0	0	0	0	0
Fnip2	0	0	0	0.994590048	0	0	0	0	0
Megf9	0	0	0	0.992364361	0	0	0	0	0
Setbp1	0	0	0	0.992199892	0	0	0	0	0
Nrp1	0	0	0	0.988008755	0	0	0	0	0
Rin2	0	0	0	0.984591975	0	0	0	0	0
Adh1	0	0	0	0.979149949	0	0	0	0	0
Ube3a	0	0	0	0.978600466	0	0	0	0	0
Brwd3	0	0	0	0.976463928	0	0	0	0	0
Ms4a6b	0	0	0	0.97534506	0	0	0	0	0
