Aylor_TCDD_Female_adult_blood	Aylor_TCDD_Female_adult_liver	Bartolomei_BPA10mg_Female_adult_blood	Bartolomei_BPA10mg_Female_adult_liver	Bartolomei_BPA10ug_Female_adult_blood	Bartolomei_BPA10ug_Female_adult_liver	Biswal_PM2.5_Female_adult_blood	Biswal_PM2.5_Female_adult_liver	Dolinoy_DEHP_Female_adult_blood	Dolinoy_DEHP_Female_adult_liver	Dolinoy_Pb_Female_adult_blood	Dolinoy_Pb_Female_adult_liver	Mutlu_PM2.5_Female_adult_blood	Mutlu_PM2.5_Female_adult_liver	Walker_TBT_Female_adult_blood	Walker_TBT_Female_adult_liver	Zhibin_As_Female_adult_blood	Zhibin_As_Female_adult_liver	Type
Gpx4-ps2	0	0	0	0	-1.29329356412772	0	2.50807097157922	0	0.718858375792157	0	0.781164721296453	0.62788198662838	0	0	0	0	0.640412505911177	0.614808927661981	Dolinoy_Pb_Female
Hspa1b	0	1.65703247358598	0	0	0	0	0	-0.598705921303317	0	0	0	0	1.65890825843688	0.796516948354491	0	-0.8041884858147	0	0	Mutlu_PM2.5_Female
Scand1	0	0	1.02698393764771	0	0	0	0	0	0	0	0	0	0.72663807623679	0.842539480567895	0	0	0	0	Mutlu_PM2.5_Female
mt-Nd2	0	0	0	0	0	0	0.597849636788141	0	0	0	0	0	0	0	1.97669821983642	0.785261071932248	0	0	Walker_TBT_Female
mt-Nd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76495605294221	0.761567320834442	0	0.775199946843653	Walker_TBT_Female
Ifit1.1	0	0	-0.986778852474198	0	0	0	0.839808951466151	1.01294426033961	0	0	0	0	0	0	0.827616311751877	0.763902364364583	0	0	Walker_TBT_Female
Zfp971	0	0	-1.22925809420179	0	0	0	0	0	0	0	0	0	0	0	0.769978398461601	0.754833529893408	0	1.31417702355222	Walker_TBT_Female
Col5a3	-1.28081048154698	0	0	0	0	0	-1.32104617478933	0	0	0	0	0	0	0	1.31933281193764	0.784232733392542	0	0.753509821318298	Walker_TBT_Female
Ccr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710751170985408	0.774078517341793	1.21377040679512	-0.774140468588245	Walker_TBT_Female
Cd180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738140565440873	0.615006099327565	0	-1.27829164205571	Walker_TBT_Female
Fus	0	0	0	0	0	0	0	0.662222136840521	0	0	0	0	0	0	0.823843218689805	0.64697573246065	0	0	Walker_TBT_Female
Cdk6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599037460532363	0.624412680647997	0	0	Walker_TBT_Female
mt-Nd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18824408148894	0.641256277869547	0	0	Walker_TBT_Female
Cd24a.1	0	0	0	0	0	0	-0.849186671227768	0.61412672512767	0	0	0	0	0	0	0.591458661617376	0.684998218737504	0	-0.887116903305393	Walker_TBT_Female
Cd36.1	0	0	0	0	0	0	-0.737561582227882	0.822143557864638	0	0	0	0	0	0	0.75175771853929	0.878889337042499	0	0	Walker_TBT_Female
Gm29216.1	0	0	0	0.861339316225845	0	0.950938047113199	2.19118754671496	0.694039213702625	0	0	0	0	0	0	0.932140375852523	-0.586254852453285	0	1.27638268396087	Walker_TBT_Female
mt-Tm.1	0	0	0	0	-1.57935023441622	1.02677630577076	1.45707811055877	0	0	0	0	0	0	0	2.15070117955697	0.918138707399225	0	0	Walker_TBT_Female
Crispld2	0	0	0	0	-2.13152554773543	0	0	0	0	0	0	0	0	0	-1.62034249590332	0.669482462321598	0	-1.00114677770253	Walker_TBT_Female
Plxdc2	0	0	0	0	0	0	-1.87290891165654	0	0	0	0	0	0	0	-1.52509062102051	0.729331347256994	0	-1.41585806588308	Walker_TBT_Female
Ly6d.1	0	0	0.838679003251086	0	0	0	-1.25385765558016	1.52758493804943	0	0	0	1.56181926311466	0	0	-0.64999787550983	1.50794919608602	0	0	Walker_TBT_Female
Slpi	0	0	1.89530615793989	0	0	0	0	0	0	0	0	0	0	0	-1.00079893180071	1.06497392133869	0	0	Walker_TBT_Female
Lgals1	0	0	0.736206514886014	0	0	0	0	0	0	0	0	0	0	0	-0.675037335493658	0.861876550614597	0	0	Walker_TBT_Female
Vim	0	0	0.986807000426151	0	0	0	0	0	0	0	0	0	0	0	-0.668444456078927	0.648890279925428	0	0	Walker_TBT_Female
Smpd3.1	0	0	0	0	0	0	-0.904590871995907	1.18528542862488	0	0	0	0	0	0.727222346807892	-1.34944008329149	1.37576790822933	0	0	Walker_TBT_Female
Nme4	0	0	0	0	0	0	-1.02640627296376	0	0	0	0	0	0	0	-1.78461431000818	0.75912635835551	0	0	Walker_TBT_Female
Tnfrsf19	0	0	0	0	0	0	-1.61320658382908	0	0	0	0	0	0	0	-1.00744188656542	1.03809750180829	0	0	Walker_TBT_Female
Epcam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.871377817169339	1.05329523595283	0	-1.47073398500505	Walker_TBT_Female
Mterf2	0	0	0	0	0	0	0	0.968911209988439	0	0	0	0	0	0	-0.629754872377554	0.760676769176421	0	0	Walker_TBT_Female
Prelid2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.16174223355393	0.681205197417712	0	0	Walker_TBT_Female
Slc5a6	0	-0.826459354709359	0	0	0	0	0	0	0	0	0	0	0	0	-1.13917669714765	0.801695317948937	0	0	Walker_TBT_Female
n-R5-8s1	0	0	0	0	-1.5596545582882	0	0	0	0	0	0	0	0	-1.80981539453473	-2.53312744786618	-1.82526478279335	0	0	Walker_TBT_Female
Klhdc8b	0	0	0.892450202402082	0	0	0	0	0	0	0	0	0	0	0	-0.729970394518428	0.624967150286506	0	1.42273748397728	Walker_TBT_Female
Gm3699	0	0	1.19015107177295	0	0	0	0	0	0	0	0	0.7216945139052	0	0	-0.627790920885	-0.696045974643015	0	0.98045796991116	Walker_TBT_Female
Rpl24	0	0	1.18475951084738	0	0	0	0	0	0	0	0	0	0	0	-0.897102917896015	-0.763991030889408	0	2.00426651559909	Walker_TBT_Female
Gm15772	0	0	0	0	0	0	0.751650044883266	0	0	0	0	0	0	0	-1.53400985326914	-0.815132311073864	0.874835326496947	0.947664140523052	Walker_TBT_Female
Gm4332	0	0	0.759199197219447	0	0	0	0	0	0	0	0	0	0	0	-1.23558376729648	-0.756665083319246	0.649827639723798	1.01758673442126	Walker_TBT_Female
Gm10275.1	0	0	0.632352971054004	0.692094684416815	0	0	0.700389779347536	0	0	0	0	0	0	0	-0.596374342980332	-0.620311923198926	0.771606727175059	0	Walker_TBT_Female
Rpl9-ps6.1	0	0	1.24962452193695	0.866569581121913	0	0	0.824137063167863	0	0	0	0	0	0	0	-0.619587275229042	-0.742676346179238	0	0.8088643827784	Walker_TBT_Female
Gm10123	0	0	0	0	0	0	1.51118844686529	0	0	0	0	0	0	0	-1.19895543442912	-0.643550375715243	0.716284684433473	-0.912310081812165	Walker_TBT_Female
4930579G24Rik	0	0	0	0	0	0	-0.766629866387016	0	0	0	0	-1.30512410850066	0	0	-0.675952326886444	-1.04255592096676	0.585233987640413	0	Walker_TBT_Female
Slc25a29	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.654540458963897	-1.26867404783716	-0.713076735426429	0.682691924323362	0	Walker_TBT_Female
Phpt1	0	0	1.0025491733159	0	0	0	0	0	0	0	0	0	0	0	-1.23506382412769	-0.647181421402683	0	0	Walker_TBT_Female
Rpl3-ps1	0	0	0.641028889183658	0	0	0	0	0	0	0	0	0	0	0	-1.22588191174978	-0.680925420265297	0	0	Walker_TBT_Female
Mfsd13a	0	0	0	0	0	0	0	0	0	0.591038006420092	0	0	0	0	-0.867313947198757	-0.630879752686454	0	-0.931789668910895	Walker_TBT_Female
Tspyl4	0	0	0	0	0	0	0	0.839751542707245	0	0	0	0	0	0	-0.683669088770833	-0.831917714771578	0	0	Walker_TBT_Female
Ada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.624115935510224	-0.615585678816487	0	0	Walker_TBT_Female
Zfp689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763105798311994	-0.711120775185611	0	0	Walker_TBT_Female
Gm15459	0	0.828810622836093	0	0	0	-0.686168404668889	0	0	0	0	0	0	0	0	-0.949604469231905	-0.609366617944598	-1.14030331711656	0	Walker_TBT_Female
Nxpe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629314398701993	-0.781514202965869	0	0	Walker_TBT_Female
Vcp-rs	0	0	0	0	0	0	1.12666223362293	0	0	0	0	0	0	0	0.752940255451633	-0.720301792672682	0	0	Walker_TBT_Female
Hist1h1c	0	0	-2.02476372964084	0	-1.76385513661232	0	2.38164537921348	0	0	0	0	0	0	0	0	0	1.09316059375005	-0.789261956419963	Zhibin_As_Female
Nol4l	0	0	-1.75372113745096	0	-1.38915173247105	0	1.86828254091354	0	0	0	0	0	0	0	0	0	-0.613550898920902	-0.891435222196662	Zhibin_As_Female
Gpx4-ps2.1	0	0	0	0	-1.29329356412772	0	2.50807097157922	0	0.718858375792157	0	0.781164721296453	0.62788198662838	0	0	0	0	0.640412505911177	0.614808927661981	Zhibin_As_Female
Pdzk1ip1	0	0	-1.67845615907414	0	-1.56085130362981	0	3.14275053247716	0	0	0	0	0	0	0	0	-0.888358346552301	0.912294809287758	1.69663712929609	Zhibin_As_Female
Gm43672.1	0	0	-1.01397099458632	0	-1.31153849608036	0	1.81472540030454	0.842927997971372	0	0	0	0	0	0	0	0	0.659928077969015	1.42974993005938	Zhibin_As_Female
Gm45716	0	0	-1.61179226270461	0	-1.38124396527703	0	2.04065821001833	0	0	0	0	0	0	0	0	0	1.13307713635669	0.924483741801534	Zhibin_As_Female
Gm47283	0	0	1.48875970077912	0	0	0	0	0	0	0	0	0	0	0	-1.04949522318938	0	-0.928840361365728	0.857940505719124	Zhibin_As_Female
Zdhhc1	0	0	1.25925101978611	0	0.615946510759762	0	0	0	0	0	0	0	0	0	0	0	-0.816255339381289	0.619493707732275	Zhibin_As_Female
Baiap2	0	0	0.815307657550768	0	0	0	0	0	0	0	0	0	0	0	-0.624857000843339	0	-0.72828025161483	0.645690121315232	Zhibin_As_Female
Prodh	0	0	0.933975163482646	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.954601689030844	0.857746474958675	Zhibin_As_Female
Pfkfb1	0	0	0	0	0	0	-0.694376901701024	0	0	0	0	0	0	0	0	0	-1.44110952316089	1.13347304988679	Zhibin_As_Female
Zfp169	0	0	-0.658348979510823	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.630731781402682	0.730964611997706	Zhibin_As_Female
Dock6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60655979192481	0.851464711961046	Zhibin_As_Female
Megf8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.820269036480952	0.662906610058928	Zhibin_As_Female
Zfp661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.857700255449848	0.688609399447271	Zhibin_As_Female
Mki67	1.40140207646233	0	-0.878017302071583	0	0	1.55513479276076	0	-0.586618338380588	0	0	0	0	0	0	0	0	-0.956733254072953	-0.977257422173293	Zhibin_As_Female
Lamc1	0	0	-0.91663101549045	0	0	0	0.887899713395659	0	0	0	0	0	0	0	0	0	-0.588283795640672	-0.829594370518324	Zhibin_As_Female
Nid1	0	0	0	0	0.702973696858528	0	-0.822160062550207	0	0	0	0	0	0	0	0	0	-0.866871059700692	-0.882936401522204	Zhibin_As_Female
Ralgds	0	0	0.664121804919377	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.798823829856957	-0.841363314392104	Zhibin_As_Female
Spon1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59262420768758	0	2.07235959037054	-1.20989687510499	Zhibin_As_Female
Emp1	0	0	0	0	0	0	0	0	0	0	0	0.61614057719141	0	0	0	0.963263321642305	0.878650300268714	-1.54293302575042	Zhibin_As_Female
Ccr2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710751170985408	0.774078517341793	1.21377040679512	-0.774140468588245	Zhibin_As_Female
Aldh1b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.835377199161396	0.663853647977212	-1.0449105691163	Zhibin_As_Female
Usp18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63245622976709	0.673859492651507	-0.660841529330809	Zhibin_As_Female
Aoah	0.63796738794782	0	-1.14862990362825	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732199573334707	-1.18173548593379	Zhibin_As_Female
Clec4a3	0	0	-0.984070810707237	0	0	-0.615338895439947	0	0	0	0	0	0	0	0	0	0	0.708967117694497	-0.75100642287879	Zhibin_As_Female
Il13ra1	0	0	-0.936429087123491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630062289178116	-0.74209287515827	Zhibin_As_Female
Marcks	0	0	-0.642464496289098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.877172751121977	-0.687657828493441	Zhibin_As_Female
Oas1a	0	0	0	0	0	0	0.639447093420198	0	0	-0.70013354591296	0	0	0	0	0	0	0.745472347987878	-0.69011631337264	Zhibin_As_Female
Clec4a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20740335526448	-1.31738042776984	Zhibin_As_Female
Fam241a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.669483193051217	-0.589635880743129	Zhibin_As_Female
Mpeg1	0	0	0	0	0.647394654349117	0	0	0	0	0	0	0	0	0	0	0	0.842222667795009	-0.827375281745834	Zhibin_As_Female
5830448L01Rik	0	0	-0.972055276796771	0	-1.09074051927241	0	1.05956056068321	0	0	0	0	0	0	0	0.748659551546139	0	-0.902606931420084	1.03275713664303	Zhibin_As_Female
mt-Nd6	0	0	0	0	0	0.770238827330438	1.69828336766957	0	0	0	0	0	0	0	1.71109975047786	0	1.17143310588507	1.1453143518155	Zhibin_As_Female
Gm10123.1	0	0	0	0	0	0	1.51118844686529	0	0	0	0	0	0	0	-1.19895543442912	-0.643550375715243	0.716284684433473	-0.912310081812165	Zhibin_As_Female
Ly6a	0	0.856086827732121	1.04029657459482	0	0	0	0	0.73767644542109	0	0	0	0	0	0	0	0	0.760738216828222	-0.718534537096311	Zhibin_As_Female
Gm9843.1	0	0	1.06834741575056	0.807658884772868	0	0	0.886923040267524	0	0.979501694373133	0	1.13301311609234	0	0	0	0	0	0.800269278447342	1.22849584805838	Zhibin_As_Female
Rps13-ps2.1	0	0	1.23103549185631	1.29137681842444	0	0	1.1267153670844	0	0	0	0	0	0	0	-0.994539817224471	0	0.736704191349957	0.62832466480788	Zhibin_As_Female
Gm15772.1	0	0	0	0	0	0	0.751650044883266	0	0	0	0	0	0	0	-1.53400985326914	-0.815132311073864	0.874835326496947	0.947664140523052	Zhibin_As_Female
Gm4332.1	0	0	0.759199197219447	0	0	0	0	0	0	0	0	0	0	0	-1.23558376729648	-0.756665083319246	0.649827639723798	1.01758673442126	Zhibin_As_Female
Ndufb1-ps.1	0	0	0.808422393151587	0.736543861563064	0	0	0	0	0	0	0	0	0	0	0	0	0.828720614902848	0.622498429903529	Zhibin_As_Female
Smim27.1	0	0	1.10591744994719	0.778113839139908	0	0	0.597264840217493	0	0	0	0	0	0	0	0	0	0.915313467076435	0.831702417657122	Zhibin_As_Female
Endog	0	0	1.25471444971638	0	0	0	0	0	0	0	0	0	0	0	-0.79307989615223	0	0.860274158030031	0.70216481451589	Zhibin_As_Female
Dcxr	0	0	0.943930767223479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608144575604429	1.01187748957428	Zhibin_As_Female
Fau	0	0	0.825919502066679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.688793816778626	0.67292528294003	Zhibin_As_Female
Churc1	0	0	1.00853190059097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732440502268341	0.65919854194204	Zhibin_As_Female
Ndufc1	0	0	1.02099889303616	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77443554216921	0.593478609360937	Zhibin_As_Female
2410022M11Rik.1	0	0	0	0	0	0	0.64752463851472	0.596441511673809	0	0	0	0	0	0	-0.633456324110723	0	1.25944305011557	1.01396350784635	Zhibin_As_Female
Cirbp	0	-0.627169993246266	0.697353141429403	0	0	0	0	0.598585613821778	0	0	0	0	0	0	0	0	0.680878771650809	1.05534052009001	Zhibin_As_Female
2310010J17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766246113574763	0.839242179608853	Zhibin_As_Female
Atp5e	0	0	0	0	-0.641255749946006	0	0	0	0	0	0	0	0	0	0	0	0.865847388378573	0.943249043938754	Zhibin_As_Female
